Block_type,instruction_text
conf_face,Press J for same or F for different faces. \nIf you see the + change colors press <SPACE>. \n\nPress <SPACE> to start!
conf_haus,Press J for same or F for different houses. \nIf you see the + change colors press <SPACE>. \n\nPress <SPACE> to start!
feat_face,Press J for same or F for different faces. \nIf you see the + change colors press <SPACE>. \n\nPress <SPACE> to start!
feat_haus,Press J for same or F for different houses. \nIf you see the + change colors press <SPACE>. \n\nPress <SPACE> to start!
