Block_type,instruction_text
conf_face,Press F for same or J for different faces. \n\nTry your best to keep your eyes on the + \n\nIf you see the + change colors \npress <SPACE>. \n\nPress <SPACE> to start!
conf_haus,Press F for same or J for different houses. \n\nTry your best to keep your eyes on the + \n\nIf you see the + change colors \npress <SPACE>. \n\nPress <SPACE> to start!
feat_face,Press F for same or J for different faces. \n\nTry your best to keep your eyes on the + \n\nIf you see the + change colors \npress <SPACE>. \n\nPress <SPACE> to start!
feat_haus,Press F for same or J for different houses. \n\nTry your best to keep your eyes on the + \n\nIf you see the + change colors \npress <SPACE>. \n\nPress <SPACE> to start!
