pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,X Scale,Y Scale,text_6.started,text_6.stopped,image.started,image.stopped,text_7.started,text_7.stopped,image_2.started,image_2.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
0,0,0,0,0.05,0.05,18.04544707702007,None,18.04544707702007,18.255570581997745,18.30617447703844,None,18.30617447703844,18.52041699801339,j,1,0.6330322850262746,18.48710257402854,None,None,0,18.48710257402854,None,19.13736389600672,None,,1,2,2020_Oct_28_1604,configural_featural,2020.2.4,None,
1,0,1,0,,,20.17228616902139,None,20.17228616902139,20.387298885034397,20.470282975991722,None,20.470282975991722,20.672580268001184,f,1,0.7585677290335298,20.653713864041492,None,None,0,20.653713864041492,None,21.437123037001584,None,,1,2,2020_Oct_28_1604,configural_featural,2020.2.4,None,
2,0,2,0,,,22.498604557011276,None,22.498604557011276,22.70565208204789,22.77049377199728,None,22.77049377199728,22.970855000021402,j,1,0.7561665879911743,22.95628584700171,None,None,0,22.95628584700171,None,23.73753470199881,None,,1,2,2020_Oct_28_1604,configural_featural,2020.2.4,None,
3,0,3,0,,,24.75413080700673,None,24.75413080700673,24.954022440011613,25.072508086042944,None,25.072508086042944,25.287390996003523,f,1,1.1372551399981603,25.25406402099179,None,None,0,25.25406402099179,None,26.42077554302523,None,,1,2,2020_Oct_28_1604,configural_featural,2020.2.4,None,
4,0,4,0,,,27.420186459028628,None,27.420186459028628,27.622553536028136,27.78098104603123,None,27.78098104603123,27.9894686100306,j,1,0.33987594599602744,27.93739048502175,None,None,0,27.93739048502175,None,28.30395850702189,None,,1,2,2020_Oct_28_1604,configural_featural,2020.2.4,None,
5,0,5,0,,,29.351847770041786,None,29.351847770041786,29.55424414202571,29.67916313104797,None,29.67916313104797,29.889468873036094,f,1,0.5821764210122637,29.8562958620023,None,None,0,29.8562958620023,None,30.470176738046575,None,,1,2,2020_Oct_28_1604,configural_featural,2020.2.4,None,
6,0,6,0,,,31.48753438401036,None,31.48753438401036,31.687325884005986,31.835172252031043,None,31.835172252031043,32.03748878504848,j,1,0.33924524998292327,32.003978409047704,None,None,0,32.003978409047704,None,32.3705056940089,None,,1,2,2020_Oct_28_1604,configural_featural,2020.2.4,None,
7,0,7,0,,,33.42943605699111,None,33.42943605699111,33.637271042040084,33.745848519029096,None,33.745848519029096,33.95587330503622,f,1,0.3627274000318721,33.92284507799195,None,None,0,33.92284507799195,None,34.30377387604676,None,,1,2,2020_Oct_28_1604,configural_featural,2020.2.4,None,
