X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,fix_switches,side,trial_type1S0D,target,probe,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,f,1,0.70424,,4,0,4,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,1,0.106718943,0,Stimuli/H5sim0.png,Stimuli/H7sim0.png,j,1,1.419665,,5,0,5,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,0,Stimuli/H7sim0.png,Stimuli/H6sim0.png,f,0,1.822965,,6,0,6,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,f,1,1.52486,,7,0,7,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/H7sim0.png,Stimuli/H7sim0.png,f,1,0.956065,,8,0,8,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,1,0.106718943,0,Stimuli/H8sim0.png,Stimuli/H6sim0.png,j,1,2.535045,,9,0,9,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,f,1,1.274495,,10,0,10,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,0,Stimuli/H6sim0.png,Stimuli/H8sim0.png,j,1,1.367185,,11,0,11,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,0,Stimuli/H7sim0.png,Stimuli/H8sim0.png,j,1,0.84926,,12,0,12,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,0,Stimuli/H6sim0.png,Stimuli/H7sim0.png,j,1,0.73591,,13,0,13,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,j,0,68.310035,,14,0,14,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/H6sim0.png,Stimuli/H6sim0.png,j,0,5.102775,,15,0,15,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/H6sim0.png,Stimuli/H6sim0.png,j,0,0.650305,,16,0,16,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,0,Stimuli/H5sim0.png,Stimuli/H6sim0.png,f,0,2.03566,,17,0,17,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,1,0.106718943,0,Stimuli/H7sim0.png,Stimuli/H5sim0.png,j,1,1.321455,,18,0,18,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,0,Stimuli/H6sim0.png,Stimuli/H5sim0.png,j,1,1.016925,,19,0,19,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/H7sim0.png,Stimuli/H7sim0.png,f,1,1.582515,,20,0,20,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,j,0,1.067725,,21,0,21,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,0,Stimuli/H5sim0.png,Stimuli/H8sim0.png,j,1,2.22443,,22,0,22,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,j,0,0.888455,,23,0,23,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,feat_haus,Designs/instructions_haus_1234.png
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,0,Stimuli/edmd.png,Stimuli/eimd.png,j,1,1.20534,,0,0,0,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,0,Stimuli/eimd.png,Stimuli/edmd.png,f,0,1.333215,,1,0,1,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,1,0.106718943,0,Stimuli/eumu.png,Stimuli/eimd.png,f,0,1.12451,,2,0,2,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/eomu.png,Stimuli/eomu.png,f,1,0.584085,,3,0,3,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/eimd.png,Stimuli/eimd.png,f,1,0.9519,,4,0,4,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/edmd.png,Stimuli/edmd.png,f,1,1.8847,,5,0,5,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/eumu.png,Stimuli/eumu.png,f,1,0.9187,,6,0,6,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/eumu.png,Stimuli/eumu.png,f,1,1.382455,,7,0,7,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,1,Stimuli/eimd.png,Stimuli/eimd.png,f,1,0.615775,,8,0,8,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,0,Stimuli/eomu.png,Stimuli/eumu.png,f,0,0.61595,,9,0,9,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,0,Stimuli/eimd.png,Stimuli/eomu.png,j,1,1.287135,,10,0,10,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,1,0.106718943,0,Stimuli/edmd.png,Stimuli/eomu.png,j,1,0.733235,,11,0,11,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,0,0.106718943,0,Stimuli/eimd.png,Stimuli/eumu.png,j,1,0.983505,,12,0,12,0,1,,,,,,,
