pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,X Scale,Y Scale,text_13.started,text_13.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_10.started,image_10.stopped,image_11.started,image_11.stopped,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,prePrac2_imgResp.started,prePrac2_imgResp.stopped,text_12.started,text_12.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,transition.started,transition.stopped,image_4.started,image_4.stopped,text_10.started,text_10.stopped,image_5.started,image_5.stopped,text_11.started,text_11.stopped,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_fix_resp_fast.started,prac_fix_resp_fast.stopped,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_resp2.started,prac_resp2.stopped,prac_fix_resp_fast.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,,,,,,,,,,,,,,,110.05406521284021,None,110.05406521284021,None,,,,105.35474498383701,105.55473867501132,105.35474498383701,None,105.85469050495885,106.05455429595895,105.85469050495885,None,None,1,106.04012153297663,None,f,1,0.8018017648719251,106.04012153297663,None,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1,Stimuli/H-8sim3.png,Stimuli/H-8sim2.png,,,,,,,,,,,,,,,,,,116.77323645399883,None,116.77323645399883,None,,,,112.05462190695107,112.25463860481977,112.05462190695107,None,112.55466511193663,112.75481301988475,112.55466511193663,None,None,1,112.73995472700335,None,j,1,0.7676842999644578,112.73995472700335,None,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.77403789083473,None,0,-0.17296,0,Stimuli/f24.png,Stimuli/f24.png,120.77152407285757,121.2732738039922,120.77152407285757,None,121.57330737099983,122.0901562818326,121.57330737099983,None,f,1,0.43076102691702545,121.75687367003411,None,None,1,121.75687367003411,None,125.75448443600908,None,125.75448443600908,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1,Stimuli/eumu.png,Stimuli/f142.png,127.77159077487886,128.27335073286667,127.77159077487886,None,128.57151827588677,129.07118131103925,128.57151827588677,None,j,1,0.7586331651546061,128.75699091888964,None,None,1,128.75699091888964,None,132.75488470704295,None,132.75488470704295,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17296,0,Stimuli/f142.png,Stimuli/f142.png,134.77297857101075,135.2877536090091,134.77297857101075,None,135.5733744308818,136.08836876484565,135.5733744308818,None,f,1,0.6231721960939467,135.75707473396324,None,space,1,135.75707473396324,None,139.75500330585055,None,139.75500330585055,None,1.1286575880367309,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1,Stimuli/f131.png,Stimuli/f24.png,141.77342823590152,142.28838252392597,141.77342823590152,None,142.57168483082205,143.07354328082874,142.57168483082205,None,j,1,0.7188869758974761,142.75697718095034,None,None,1,142.75697718095034,None,146.75503184786066,None,146.75503184786066,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/eumu.png,Stimuli/eumu.png,,,,,,,,,,,,,,,,,,156.47365444991738,None,156.47365444991738,None,,148.7550225870218,None,151.77350136986934,151.9882746268995,151.77350136986934,None,152.27356724091806,152.48846292402595,152.27356724091806,None,None,1,152.4551032758318,None,f,1,0.7793597681447864,152.4551032758318,None,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,1,Stimuli/f15.png,Stimuli/eumu.png,,,,,,,,,,,,,,,,,,163.15448047593236,None,163.15448047593236,None,,,,158.47414781991392,158.6885103189852,158.47414781991392,None,158.97345548984595,159.19054223387502,158.97345548984595,None,space,1,159.15513023291714,None,j,1,0.7766668929252774,159.15513023291714,None,1.0568668418563902,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/f15.png,Stimuli/f15.png,,,,,,,,,,,,,,,,,,169.8543901660014,None,169.8543901660014,None,,,,165.17367741884664,165.38858641684055,165.17367741884664,None,165.67363575985655,165.88857420394197,165.67363575985655,None,None,1,165.8551122539211,None,f,1,0.5163587238639593,165.8551122539211,None,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1,Stimuli/edmd.png,Stimuli/f24.png,,,,,,,,,,,,,,,,,,176.5550881398376,None,176.5550881398376,None,,,,171.87369549600407,172.08861635788344,171.87369549600407,None,172.3737152358517,172.58851406304166,172.3737152358517,None,None,1,172.55514971492812,None,j,1,1.3529799259267747,172.55514971492812,None,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
