Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_3.rt,key_resp_5.rt,key_resp_4.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,0.0,Stimuli/H-8sim2.png,Stimuli/H-8sim3.png,None,None,None,j,1,0.301028139074333,None,159.42410691804253,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,1.0,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,None,None,None,j,0,0.358678721007891,None,160.4600166460732,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.16396608,0.0,Stimuli/H-8sim1.png,Stimuli/H-8sim3.png,None,None,None,j,1,0.8940879020374268,None,161.54077175806742,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,0.0,Stimuli/H-8sim0.png,Stimuli/H-8sim3.png,None,None,None,j,1,0.41915785905439407,None,163.15755359700415,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.16396608,1.0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,None,None,None,j,0,0.28822236496489495,None,164.3099961610278,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.16396608,1.0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,None,None,None,j,0,0.2699252450838685,None,165.32417926902417,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,0.0,Stimuli/H-8sim0.png,Stimuli/H-8sim2.png,None,None,None,j,1,0.035404840018600225,None,166.3242435620632,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,1.0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,None,None,None,j,0,0.1996328360401094,None,167.10761334199924,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.16396608,0.0,Stimuli/H-8sim2.png,Stimuli/H-8sim0.png,None,None,None,j,1,0.47147010697517544,None,168.02418841805775,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.16396608,1.0,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,None,None,None,j,0,0.5871471980353817,None,169.22421140607912,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
