Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_6.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0,Stimuli/nemo1.jpg,Stimuli/nemo1.jpg,91.50132780405693,91.70205084106419,91.50132780405693,None,91.80213297705632,92.00458289904054,91.80213297705632,None,f,1,0.5810303189791739,91.98542993701994,None,None,1,91.98542993701994,None,95.98520391096827,None,95.98520391096827,None,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17295000000000002,0,Stimuli/nemo2.png,Stimuli/nemo2.png,98.03227297903504,98.2372918460751,98.03227297903504,None,98.33226361102425,98.53541665803641,98.33226361102425,None,f,1,1.0348189879441634,98.50217976199929,None,space,1,98.50217976199929,None,102.4855490460759,None,102.4855490460759,None,1.4610698060132563,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17295000000000002,0,Stimuli/nemo2.png,Stimuli/nemo2.png,104.53111691807862,104.73555502400268,104.53111691807862,None,104.827250309987,105.03732792602386,104.827250309987,None,f,1,1.2910375039791688,105.00221794005483,None,space,1,105.00221794005483,None,108.98540889902506,None,108.98540889902506,None,1.5628460320876911,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0,Stimuli/dory2.png,Stimuli/dory2.png,111.00415269401856,111.21885028807446,111.00415269401856,None,111.30407926707994,111.51895415503532,111.30407926707994,None,f,1,0.6449199150083587,111.4856024190085,None,None,1,111.4856024190085,None,115.48562381707598,None,115.48562381707598,None,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,117.51060364500154,117.71886911801994,117.51060364500154,None,117.83249504305422,118.03542074898724,117.83249504305422,None,j,1,0.7519260890549049,118.00216529797763,None,None,1,118.00216529797763,None,121.98540093097836,None,121.98540093097836,None,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0.0,Stimuli/eumu.png,Stimuli/eomu.png,None,None,None,f,0,1.3678952930495143,None,140.7691924800165,None,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,f,1,0.7063514379551634,None,142.88524384098127,None,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0.0,Stimuli/edmd.png,Stimuli/eimd.png,None,None,None,f,0,0.5566622890764847,None,144.33827873808332,None,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,f,1,1.6198526819935068,None,145.61907549505122,None,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0.0,Stimuli/eumu.png,Stimuli/edmd.png,None,None,None,j,1,0.7139091530116275,None,147.98591410298832,None,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
