X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,prePrac2_imgResp.started,prePrac2_imgResp.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
0.05,0.05,20.23268759297207,20.435109712881967,20.23268759297207,None,20.716687337961048,None,21.099731516791508,None,j,1,2.9062627158127725,21.099731516791508,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1345,configural_featural,2020.2.4,60.77671059696418,[3584 2240],
,,,,,,,,,,,,,,,26.165781678864732,26.366116990800947,26.165781678864732,None,26.649730499833822,26.849529712926596,26.8828366859816,None,space,1,3.6966223660856485,,,,,,,1,2,2020_Nov_16_1345,configural_featural,2020.2.4,60.77671059696418,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,8.70414692000486,26.8828366859816,None,,1,2,2020_Nov_16_1345,configural_featural,2020.2.4,60.77671059696418,[3584 2240],
