pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,X Scale,Y Scale,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,fix_resp.keys,fix_resp.corr,fix_resp.started,fix_resp.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,image_3.started,image_3.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
0,0,0,0,0.05,0.05,18.20243763696635,18.409752840991132,18.37465789995622,None,18.722729986009654,18.926760318980087,18.908133886987343,None,None,0,18.908133886987343,None,j,1,0.6618641420500353,18.908133886987343,None,19.591221804963425,None,,1,2,2020_Oct_28_0138,configural_featural,2020.2.4,None,
1,0,1,0,,,20.651555341959465,20.85795881797094,20.824662469967734,None,21.126492866955232,21.34339821001049,21.308047400962096,None,None,0,21.308047400962096,None,f,0,1.049639574950561,21.308047400962096,None,22.374746799003333,None,,1,2,2020_Oct_28_0138,configural_featural,2020.2.4,None,
2,0,2,0,,,23.433239036006853,23.64123157999711,23.607968238997273,None,23.949657348974142,24.160463965963572,24.124877622001804,None,None,0,24.124877622001804,None,f,1,0.3522513060015626,24.124877622001804,None,24.526478454004973,None,,1,2,2020_Oct_28_0138,configural_featural,2020.2.4,None,
3,0,3,0,,,25.57244014495518,25.774747093964834,25.76065061095869,None,26.041422561975196,26.24362119997386,26.224917544983327,None,None,0,26.224917544983327,None,j,1,0.1361898619798012,26.224917544983327,None,26.39148692699382,None,,1,2,2020_Oct_28_0138,configural_featural,2020.2.4,None,
4,0,4,0,,,27.407833331963047,27.608382334001362,27.594244137988426,None,27.924729989957996,28.12726906099124,28.108310133975465,None,None,0,28.108310133975465,None,f,1,0.411354209005367,28.108310133975465,None,28.541309394990094,None,,1,2,2020_Oct_28_0138,configural_featural,2020.2.4,None,
5,0,5,0,,,29.55993094301084,29.77667712996481,29.741679847007617,None,30.10219878295902,30.310384267009795,30.274827209999785,None,None,0,30.274827209999785,None,j,1,0.6145486289751716,30.274827209999785,None,30.908443119958974,None,,1,2,2020_Oct_28_0138,configural_featural,2020.2.4,None,
6,0,6,0,,,31.956059833988547,32.15834684896981,32.14384519297164,None,32.47228169196751,32.67692247900413,32.64161652000621,None,None,0,32.64161652000621,None,f,1,0.16891501302598044,32.64161652000621,None,32.841413860965986,None,,1,2,2020_Oct_28_0138,configural_featural,2020.2.4,None,
7,0,7,0,,,33.85983734799083,34.05831848899834,34.04396881599678,None,34.37664405396208,34.57470112800365,34.56075706001138,None,None,0,34.56075706001138,None,j,0,0.38527158298529685,34.56075706001138,None,34.97489400400082,None,,1,2,2020_Oct_28_0138,configural_featural,2020.2.4,None,
