Block_type,instruction_text,repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,ITI_fix_cross.started,ITI_fix_cross.stopped,fix_resp.keys,fix_resp.corr,fix_resp.started,fix_resp.stopped,fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,space,1.0952226460067322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.048718371996073984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1,0.5635760239965748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.33324456300761085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H8sim0.png,Stimuli/H8sim0.png,f,1,0.5398944640037371,None,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,1,Stimuli/H-8sim0.png,Stimuli/H-8sim3.png,j,1,0.6573750680108787,space,1,1.2018700089975027,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H7sim0.png,Stimuli/H7sim0.png,f,1,0.36471076001180336,None,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H6sim0.png,Stimuli/H5sim0.png,j,1,0.5931493889947888,None,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,,,,,,,None,1,j,0,0.3798445720021846,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H7sim0.png,Stimuli/H-8sim3.png,,,,,,,None,1,j,1,0.3709655780112371,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,,,,space,1,f,1,0.3878267429972766,0.8276632610068191,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H8sim0.png,Stimuli/H-8sim3.png,,,,,,,None,1,j,1,0.5111228429886978,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/eumu.png,Stimuli/eumu.png,f,1,0.43210503600130323,None,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,1,Stimuli/f142.png,Stimuli/eimd.png,j,1,0.5089120670018019,space,1,0.8058852329995716,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/f131.png,Stimuli/f131.png,f,1,0.8100483920134138,None,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/f131.png,Stimuli/eomu.png,j,1,0.5688491639884887,None,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/eimd.png,Stimuli/eimd.png,,,,,,,None,1,f,1,0.5557083230087301,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/edmd.png,Stimuli/eomu.png,,,,,,,None,1,j,1,0.6491464989958331,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,0,Stimuli/f142.png,Stimuli/f142.png,,,,,,,space,1,f,1,0.4460188770026434,0.7604159750044346,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/f15.png,Stimuli/eimd.png,,,,,,,None,1,j,1,0.9899531190021662,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eumu.png,Stimuli/edmd.png,conf_face,f,0,0.2993416259996593,241.43050317799498,None,None,1,241.43050317799498,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eomu.png,Stimuli/eumu.png,conf_face,j,1,0.2419546419987455,244.01381928799674,None,None,1,244.01381928799674,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,f,1,0.23859054000058677,246.6806550360052,None,None,1,246.6806550360052,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
