Block_type,instruction_text,repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,ITI_fix_cross.started,ITI_fix_cross.stopped,fix_resp.keys,fix_resp.corr,fix_resp.started,fix_resp.stopped,fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,f,1,0.15692384200519882,283.56416059000185,None,space,0,283.56416059000185,None,1.2372205890133046,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0.0,Stimuli/eomu.png,Stimuli/eimd.png,conf_face,j,1,0.29718476500420365,286.1474260649993,None,space,1,286.1474260649993,None,0.5015830299962545,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/edmd.png,Stimuli/eomu.png,conf_face,j,1,0.41209961799904704,288.8975069989974,None,None,1,288.8975069989974,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,f,1,0.2792748549982207,291.4308804790053,None,None,1,291.4308804790053,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eimd.png,Stimuli/edmd.png,conf_face,j,1,0.23530426299839746,293.7143488300062,None,None,1,293.7143488300062,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,j,0,0.20310386701021343,296.16433707899705,None,None,1,296.16433707899705,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,f,1,0.22130175000347663,298.59762693299854,None,space,1,298.59762693299854,None,0.5698352439940209,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eumu.png,Stimuli/eimd.png,conf_face,j,1,0.41584493599657435,301.4144003399997,None,None,1,301.4144003399997,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eumu.png,Stimuli/eomu.png,conf_face,j,1,0.3360928110050736,303.9142979019962,None,None,1,303.9142979019962,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,f,1,0.26878873800160363,306.34757854699274,None,None,1,306.34757854699274,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
