Block_type,instruction_text,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
conf_haus,Designs/instructions_haus_1234.png,0,0,0,0,0,0,0,0,0.05,0.05,0,0.17295000000000002,0.0,Stimuli/H-8sim3.png,Stimuli/H-8sim0.png,None,None,None,f,1,0.6441890349960886,None,17.680260032007936,None,code,3,2,2020_Oct_25_2125,configural_featural,2020.2.4,None,
conf_haus,Designs/instructions_haus_1234.png,0,0,0,0,1,0,1,0,,,0,0.17295000000000002,0.0,Stimuli/H-8sim1.png,Stimuli/H-8sim3.png,None,None,None,j,0,0.31366521498421207,None,19.04701786499936,None,code,3,2,2020_Oct_25_2125,configural_featural,2020.2.4,None,
conf_haus,Designs/instructions_haus_1234.png,0,0,0,0,2,0,2,0,,,0,-0.17295000000000002,1.0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,None,None,None,f,0,0.6150130200549029,None,20.080328295007348,None,code,3,2,2020_Oct_25_2125,configural_featural,2020.2.4,None,
,,,,,,,,,,,,0,-0.17295000000000002,0.0,Stimuli/H-8sim0.png,Stimuli/H-8sim3.png,None,None,None,,,,,,,,,,,,,,
