Block_type,instruction_text,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,text_top.started,text_top.stopped,text_bottom.started,text_bottom.stopped,ccimage.started,ccimage.stopped,fix_switches,side,text_3.started,text_3.stopped,target_image.started,target_image.stopped,text.started,text.stopped,probe_image.started,probe_image.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,15,0,15,0,,,,,,,,,,,,,35.17582157702418,None,35.37651407701196,None,35.576484211022034,None,35.80089297203813,None,space,0.3910531750298105,35.80089297203813,None,SR,1,1,2020_Oct_24_1955,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,16,0,16,0,,,,,,,,,,,,,36.209304545016494,None,36.409110984997824,None,36.60947894502897,None,36.80918464704882,None,space,0.47367029095767066,36.80918464704882,None,SR,1,1,2020_Oct_24_1955,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,17,0,17,0,,,,,,,,,,,,,37.30928214103915,None,37.509114523010794,None,37.70952272799332,None,37.90948395401938,None,space,0.2794820140115917,37.90948395401938,None,SR,1,1,2020_Oct_24_1955,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,18,0,18,0,,,,,,,,,,,,,38.209139467042405,None,38.40896526200231,None,38.609140794025734,None,38.80943190399557,None,space,0.1511316960095428,38.80943190399557,None,SR,1,1,2020_Oct_24_1955,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,19,0,19,0,,,,,,,,,,,,,38.99251654103864,None,39.19258690200513,None,39.39299043704523,None,39.59305749204941,None,space,0.13811495498521253,39.59305749204941,None,SR,1,1,2020_Oct_24_1955,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,20,0,20,0,,,,,,,,,,,,,39.759461644047406,None,39.95974002103321,None,40.15978460502811,None,40.35966193303466,None,space,0.16913230199133977,40.35966193303466,None,SR,1,1,2020_Oct_24_1955,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,21,0,21,0,,,,,,,,,,,,,40.55932804004988,None,40.75988275103737,None,40.95961164601613,None,41.1599583470379,None,space,0.08595630899071693,41.1599583470379,None,SR,1,1,2020_Oct_24_1955,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,22,0,22,0,,,,,,,,,,,,,41.27627975400537,None,41.47630179201951,None,41.67652471701149,None,41.87633999402169,None,space,0.12676816002931446,41.87633999402169,None,SR,1,1,2020_Oct_24_1955,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,23,0,23,0,,,,,,,,,,,,,42.02645126101561,None,42.22614774701651,None,42.42574013205012,None,42.62575189204654,None,space,0.08509391197003424,42.62575189204654,None,SR,1,1,2020_Oct_24_1955,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,0,0,0,0,,,,,,,,,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1]",42.72575931303436,None,45.109650553029496,None,45.30986413202481,None,45.50959889101796,None,45.71200546104228,None,space,1.5006651550065726,45.71200546104228,None,SR,1,1,2020_Oct_24_1955,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,1,0,1,0,,,,,,,,,,,,,47.24313070502831,None,47.44280758401146,None,47.642994015011936,None,47.843057579011656,None,space,0.23276692599756643,47.843057579011656,None,SR,1,1,2020_Oct_24_1955,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,2,0,2,0,,,,,,,,,,,,,48.09303552401252,None,48.29323595302412,None,48.49281345400959,None,48.69236763101071,None,space,0.4708187209907919,48.69236763101071,None,SR,1,1,2020_Oct_24_1955,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,3,0,3,0,,,,,,,,,,,,,49.192865445045754,None,49.39286288403673,None,49.592523029015865,None,49.792803768010344,None,space,0.6385905959759839,49.792803768010344,None,SR,1,1,2020_Oct_24_1955,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,50.459449307003524,None,50.65944966103416,None,50.859444410016295,None,,,,,,,,,,,,,,
