Block_type,instruction_text,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,text_top.started,text_top.stopped,text_bottom.started,text_bottom.stopped,ccimage.started,ccimage.stopped,target_image.started,target_image.stopped,text.started,text.stopped,probe_image.started,probe_image.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,design,date,expName,psychopyVersion,frameRate,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,17,0,17,0,,,,,,,,,28.369428072997835,None,28.569016492983792,None,28.769117338990327,None,28.96907619095873,None,space,0.07473909598775208,28.96907619095873,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,18,0,18,0,,,,,,,,,29.068460911978036,None,29.269117829971947,None,29.46896187099628,None,29.669111975992564,None,space,0.057206291996408254,29.669111975992564,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,19,0,19,0,,,,,,,,,29.75247672398109,None,29.95250437798677,None,30.152473802969325,None,30.352447085955646,None,space,0.32662281300872564,30.352447085955646,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,20,0,20,0,,,,,,,,,30.702502828964498,None,30.902553158986848,None,31.102178242988884,None,31.30241094500525,None,space,0.3641934780171141,31.30241094500525,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,21,0,21,0,,,,,,,,,31.685493597993627,None,31.885806089965627,None,32.085848005954176,None,32.28580226498889,None,space,0.2816083939978853,32.28580226498889,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,22,0,22,0,,,,,,,,,32.585476473963354,None,32.785788952955045,None,32.98568099900149,None,33.18582782399608,None,space,0.16065253200940788,33.18582782399608,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,23,0,23,0,,,,,,,,,33.36881923099281,None,33.56925815495197,None,33.76913276099367,None,33.96908752195304,None,space,0.21812806196976453,33.96908752195304,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,0,0,0,0,,,,,,,,,34.202222714957315,None,34.4025324669783,None,34.60259629500797,None,34.80247262399644,None,space,0.18530312302755192,34.80247262399644,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,1,0,1,0,,,,,,,,,35.002564222959336,None,35.20253242197214,None,35.40255022997735,None,35.602550437964965,None,space,0.13572973996633664,35.602550437964965,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,2,0,2,0,,,,,,,,,35.76914130296791,None,35.96914044796722,None,36.16914963000454,None,36.36922635498922,None,space,0.21586034097708762,36.36922635498922,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
