pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,X Scale,Y Scale,text_6.started,text_6.stopped,image.started,image.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
0,0,0,0,0.05,0.05,20.68602409696905,None,20.68602409696905,20.89027327200165,20.97331973601831,21.175795942021068,20.97331973601831,None,f,1,1.0976338530308567,21.15708105498925,None,None,0,21.15708105498925,None,22.272942723997403,None,,1,2,2020_Oct_28_1601,configural_featural,2020.2.4,None,
1,0,1,0,,,23.334882082999684,None,23.334882082999684,23.54033302597236,23.648923651024234,23.870608779019676,23.648923651024234,None,f,1,1.0552176839555614,23.848759686981793,None,None,0,23.848759686981793,None,24.923157432989683,None,,1,2,2020_Oct_28_1601,configural_featural,2020.2.4,None,
2,0,2,0,,,25.940313616010826,None,25.940313616010826,26.14210506901145,26.298946016002446,26.506991768023,26.298946016002446,None,j,1,0.9240473989630118,26.487796714995056,None,None,0,26.487796714995056,None,27.440003909985535,None,,1,2,2020_Oct_28_1601,configural_featural,2020.2.4,None,
3,0,3,0,,,28.45714713499183,None,28.45714713499183,28.658978579973336,28.817373765981756,29.025623655994423,28.817373765981756,None,j,1,3.0459867779864,28.990432117017917,None,None,0,28.990432117017917,None,32.05694848700659,None,,1,2,2020_Oct_28_1601,configural_featural,2020.2.4,None,
4,0,4,0,,,33.11589235399151,None,33.11589235399151,33.323714460013434,33.39048017398454,33.592878543015104,33.39048017398454,None,j,1,1.575044388009701,33.573818026983645,None,None,0,33.573818026983645,None,35.1738121000235,None,,1,2,2020_Oct_28_1601,configural_featural,2020.2.4,None,
5,0,5,0,,,36.19205921597313,None,36.19205921597313,36.40701636398444,36.489865295996424,36.69196492101764,36.489865295996424,None,f,1,0.34138021199032664,36.69196492101764,None,None,0,36.69196492101764,None,37.05725353001617,None,,1,2,2020_Oct_28_1601,configural_featural,2020.2.4,None,
6,0,6,0,,,38.115720151981805,None,38.115720151981805,38.32389986899216,38.39056025398895,38.5905098009971,38.39056025398895,None,j,1,0.36191028298344463,38.57631627400406,None,None,0,38.57631627400406,None,38.95687984698452,None,,1,2,2020_Oct_28_1601,configural_featural,2020.2.4,None,
7,0,7,0,,,40.01570249401266,None,40.01570249401266,40.22385879699141,40.33335736999288,40.54237439902499,40.33335736999288,None,f,1,0.2954608789877966,40.507359554001596,None,None,0,40.507359554001596,None,40.82367646199418,None,,1,2,2020_Oct_28_1601,configural_featural,2020.2.4,None,
