0.2758 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.2410 	INFO 	Loaded monitor calibration from ['2020_09_20 15:42']
8.5356 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

8.5361 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x153f8fba8>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1556d39e8>, multiSample=False, name='window1', numSamples=2, pos=[448.0, 280.0], screen=0, size=array([3584, 2240]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.5363 	EXP 	window1: mouseVisible = True
8.5364 	EXP 	window1: recordFrameIntervals = False
8.7021 	EXP 	window1: recordFrameIntervals = True
10.3709 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

10.8525 	EXP 	Created text_top = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_top', opacity=1.0, ori=0, pos=array([0. , 0.3]), rgb=array([0., 0., 0.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
10.8585 	EXP 	Created text_bottom = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_bottom', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([0., 0., 0.]), text='Press Space when you’re finished', units='height', win=Window(...), wrapWidth=1)
10.8687 	EXP 	Created ccimage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, image='bankcard.png', interpolate=True, mask=None, maskParams=None, name='ccimage', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.428 , 0.2699]), texRes=512, units='height', win=Window(...))
10.8700 	EXP 	Created target_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='target_image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=512, units='height', win=Window(...))
10.8723 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
10.8738 	EXP 	Created probe_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='probe_image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=512, units='height', win=Window(...))
10.8749 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
11.3291 	WARNING 	t of last frame was 958.47ms (=1/1)
11.3291 	EXP 	text_top: autoDraw = True
11.3291 	EXP 	text_bottom: autoDraw = True
11.3291 	EXP 	ccimage: autoDraw = True
11.3540 	WARNING 	t of last frame was 24.84ms (=1/40)
12.1729 	WARNING 	t of last frame was 20.59ms (=1/48)
12.6212 	DATA 	Keypress: space
12.6261 	DEBUG 	Read csv file with pandas: Designs/design1.csv
12.6285 	DEBUG 	Clearing unnamed columns from Designs/design1.csv
12.6289 	EXP 	Imported Designs/design1.csv as conditions, 4 conditions, 2 params
12.6291 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
12.6294 	EXP 	New trial (rep=0, index=0): OrderedDict([('Block_type', 'conf_face'), ('instruction_text', 'Press S for same or D for different faces. Press <SPACE> to continue.')])
12.6300 	EXP 	Created sequence: sequential, trialTypes=1, nReps=24, seed=None
12.6303 	EXP 	New trial (rep=0, index=0): None
12.6516 	WARNING 	t of last frame was 33.55ms (=1/29)
12.6516 	EXP 	ccimage: size = [0.42800000000000005, 0.2699]
12.6516 	EXP 	text_top: autoDraw = False
12.6516 	EXP 	text_bottom: autoDraw = False
12.6516 	EXP 	ccimage: autoDraw = False
12.6516 	EXP 	target_image: size = array([0.17295, 0.17295])
12.6516 	EXP 	target_image: image = 'Stimuli/eumu.png'
12.6516 	EXP 	target_image: autoDraw = True
12.8523 	EXP 	target_image: autoDraw = False
12.8523 	EXP 	text: color = '[1.   0.75 0.8 ] (rgb)'
12.8523 	EXP 	text: autoDraw = True
13.0522 	EXP 	text: autoDraw = False
13.0522 	EXP 	probe_image: size = array([0.17295, 0.17295])
13.0522 	EXP 	probe_image: image = 'Stimuli/edmd.png'
13.0522 	EXP 	probe_image: autoDraw = True
13.2523 	EXP 	probe_image: autoDraw = False
13.2523 	EXP 	text_2: color = '[1.   0.75 0.8 ] (rgb)'
13.2523 	EXP 	text_2: autoDraw = True
13.8224 	DATA 	Keypress: j
14.3369 	EXP 	New trial (rep=1, index=0): None
14.3427 	DATA 	Keypress: space
14.3520 	EXP 	text_2: autoDraw = False
14.3520 	EXP 	target_image: size = array([0.17295, 0.17295])
14.3520 	EXP 	target_image: image = 'Stimuli/edmd.png'
14.3520 	EXP 	target_image: autoDraw = True
14.5523 	EXP 	target_image: autoDraw = False
14.5523 	EXP 	text: color = '[1.   0.75 0.8 ] (rgb)'
14.5523 	EXP 	text: autoDraw = True
14.7523 	EXP 	text: autoDraw = False
14.7523 	EXP 	probe_image: size = array([0.17295, 0.17295])
14.7523 	EXP 	probe_image: image = 'Stimuli/eumu.png'
14.7523 	EXP 	probe_image: autoDraw = True
14.9523 	EXP 	probe_image: autoDraw = False
14.9523 	EXP 	text_2: color = '[1.   0.75 0.8 ] (rgb)'
14.9523 	EXP 	text_2: autoDraw = True
15.3571 	EXP 	New trial (rep=2, index=0): None
15.3670 	DATA 	Keypress: space
15.3876 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
15.3876 	EXP 	text_2: autoDraw = False
15.3876 	EXP 	target_image: size = array([0.17295, 0.17295])
15.3876 	EXP 	target_image: image = 'Stimuli/eomu.png'
15.3876 	EXP 	target_image: autoDraw = True
15.5855 	EXP 	target_image: autoDraw = False
15.5855 	EXP 	text: color = '[1.   0.75 0.8 ] (rgb)'
15.5855 	EXP 	text: autoDraw = True
15.7858 	EXP 	text: autoDraw = False
15.7858 	EXP 	probe_image: size = array([0.17295, 0.17295])
15.7858 	EXP 	probe_image: image = 'Stimuli/eomu.png'
15.7858 	EXP 	probe_image: autoDraw = True
15.9858 	EXP 	probe_image: autoDraw = False
15.9858 	EXP 	text_2: color = '[1.   0.75 0.8 ] (rgb)'
15.9858 	EXP 	text_2: autoDraw = True
16.3712 	EXP 	New trial (rep=3, index=0): None
16.3775 	DATA 	Keypress: space
16.3855 	EXP 	text_2: autoDraw = False
16.3855 	EXP 	target_image: size = array([0.17295, 0.17295])
