pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,X Scale,Y Scale,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,feedback_msg.started,feedback_msg.stopped,image_3.started,image_3.stopped,prac_fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
0,0,0,0,0.05,0.05,17.627003527944908,17.827386691002175,17.627003527944908,None,17.98900199099444,18.196350167971104,17.98900199099444,None,j,1,1.2943499700631946,18.143924114992842,None,None,1,18.143924114992842,None,23.16248606296722,None,23.16248606296722,None,,,1,2,2020_Oct_28_1757,configural_featural,2020.2.4,None,
1,0,1,0,,,25.203448390006088,25.412766968016513,25.203448390006088,None,25.48594211298041,25.696286446996965,25.48594211298041,None,f,1,0.697176088928245,25.663191851926968,None,None,1,25.663191851926968,None,30.62748925201595,None,30.62748925201595,None,,,1,2,2020_Oct_28_1757,configural_featural,2020.2.4,None,
2,0,2,0,,,32.686255489010364,32.896379376994446,32.686255489010364,None,32.96067167201545,33.16093730193097,32.96067167201545,None,j,1,1.5820368869462982,33.147026192978956,None,None,1,33.147026192978956,None,38.143659055931494,None,38.143659055931494,None,,,1,2,2020_Oct_28_1757,configural_featural,2020.2.4,None,
3,0,3,0,,,40.162699472974055,40.37765455292538,40.162699472974055,None,40.46296065393835,40.679867298924364,40.46296065393835,None,f,1,2.1249032170744613,40.64452456997242,None,space,0,40.64452456997242,None,45.66270591598004,None,45.66270591598004,None,4.121126075973734,,1,2,2020_Oct_28_1757,configural_featural,2020.2.4,None,
4,0,4,0,,,47.66101623000577,47.86098587093875,47.66101623000577,None,47.986180103966035,48.19452402496245,47.986180103966035,None,j,1,1.397593621048145,48.16104262601584,None,space,1,48.16104262601584,None,53.14373834594153,None,53.14373834594153,None,1.0821186000248417,,1,2,2020_Oct_28_1757,configural_featural,2020.2.4,None,
5,0,5,0,,,55.14424458402209,55.3446054860251,55.14424458402209,None,55.44465852796566,55.64617405994795,55.44465852796566,None,f,1,0.7681216569617391,55.62737390096299,None,None,1,55.62737390096299,None,60.627643208019435,None,60.627643208019435,None,,,1,2,2020_Oct_28_1757,configural_featural,2020.2.4,None,
6,0,6,0,,,62.686250081984326,62.89646132593043,62.686250081984326,None,63.00278564100154,63.211367346928455,63.00278564100154,None,f,1,2.043237405945547,63.177807995001785,None,space,1,63.177807995001785,None,68.14390864002053,None,68.14390864002053,None,1.3520178920589387,,1,2,2020_Oct_28_1757,configural_featural,2020.2.4,None,
7,0,7,0,,,70.20294888899662,70.41310304100625,70.20294888899662,None,70.4463325010147,70.64383217599243,70.4463325010147,None,j,1,2.446263118996285,70.62874568696134,None,space,0,70.62874568696134,None,75.62741035793442,None,75.62741035793442,None,2.816213915939443,,1,2,2020_Oct_28_1757,configural_featural,2020.2.4,None,
