X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_13.keys,key_resp_13.corr,key_resp_13.started,key_resp_13.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
0.05,0.05,27.2188602630049,27.42145234392956,27.2188602630049,None,27.6883186949417,None,27.871537792962044,None,j,1,4.896752833970822,27.871537792962044,None,,,,,,,,,,,,,,,,1,2,2020_Oct_29_2359,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,37.10194255202077,37.30477728799451,37.10194255202077,None,37.57404334098101,None,37.73828021599911,None,None,0,,,,,,1,2,2020_Oct_29_2359,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,None,0,37.73828021599911,None,,1,2,2020_Oct_29_2359,configural_featural,2020.2.4,None,
