repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,0.05,0.05,space,0.1702868239954114,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,j,1,9.097965045366436,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,space,1,1.8890760065987706,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.6572382650338113,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,f,1,1.0266907033510506,None,1,,,,,,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H5sim0.png,Stimuli/H-8sim3.png,j,1,1.0760848787613213,None,1,,,,,,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,f,1,1.0484852069057524,space,1,1.272433903068304,,,,,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H6sim0.png,Stimuli/H-8sim3.png,j,1,1.2581131258048117,None,1,,,,,,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H6sim0.png,Stimuli/H6sim0.png,,,,,,,None,1,f,1,1.4772301181219518,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H-8sim1.png,Stimuli/H7sim0.png,,,,,,,None,1,j,1,1.0278446590527892,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,1,0.17380935298900002,0,Stimuli/H7sim0.png,Stimuli/H7sim0.png,,,,,,,space,1,f,1,1.211739039979875,1.4368075458332896,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H-8sim2.png,Stimuli/H6sim0.png,,,,,,,None,1,None,0,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/f142.png,Stimuli/f142.png,None,0,,None,1,,,,,,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/f15.png,Stimuli/eimd.png,None,0,,None,1,,,,,,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0,Stimuli/eimd.png,Stimuli/eimd.png,None,0,,None,0,,,,,,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/edmd.png,Stimuli/eomu.png,None,0,,None,1,,,,,,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/f131.png,Stimuli/f131.png,,,,,,,None,1,None,0,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,1,0.17380935298900002,1,Stimuli/f142.png,Stimuli/f131.png,,,,,,,None,0,None,0,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/f24.png,Stimuli/f24.png,,,,,,,None,1,None,0,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/eomu.png,Stimuli/eimd.png,,,,,,,None,1,None,0,,,,1,2,2020_Dec_11_2122,configural_featural,2020.2.4,None,[3584 2240],
