repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,0.05,0.05,space,0.23726251628249884,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1728,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,j,1,0.474316633772105,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1728,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,space,1,0.50840033730492,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1728,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.4082144717685878,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1728,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H6sim0.png,Stimuli/H6sim0.png,f,1,0.47732307063415647,space,0,3.23971851170063,,,,,,,,1,2,2020_Dec_21_1728,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1,Stimuli/H-8sim2.png,Stimuli/H5sim0.png,j,1,0.6959256301634014,space,1,2.6568345092236996,,,,,,,,1,2,2020_Dec_21_1728,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H8sim0.png,Stimuli/H8sim0.png,f,1,1.0815542209893465,None,1,,,,,,,,,1,2,2020_Dec_21_1728,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H8sim0.png,Stimuli/H6sim0.png,j,1,0.6139453370124102,None,1,,,,,,,,,1,2,2020_Dec_21_1728,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,,,,None,1,j,0,0.7824282497167587,,,1,2,2020_Dec_21_1728,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,1,0.17380935298900002,1,Stimuli/H8sim0.png,Stimuli/H5sim0.png,,,,,,,space,1,j,1,1.6979270791634917,0.4837551498785615,,1,2,2020_Dec_21_1728,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,,,,,,,None,1,j,0,0.5945342108607292,,,1,2,2020_Dec_21_1728,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H-8sim0.png,Stimuli/H-8sim3.png,,,,,,,None,1,j,1,0.46556489588692784,,,1,2,2020_Dec_21_1728,configural_featural,2020.2.4,None,[3584 2240],
