21.5990 	EXP 	probe_image: autoDraw = True
21.7992 	EXP 	probe_image: autoDraw = False
21.7992 	EXP 	probe_image: autoDraw = False
21.7992 	EXP 	text_2: color = 'orange (named)'
21.7992 	EXP 	text_2: autoDraw = True
22.2031 	DATA 	Keypress: escape
22.6451 	EXP 	window1: mouseVisible = True
22.6451 	DEBUG 	Saving data for configural_featural ExperimentHandler
22.6462 	INFO 	saved data to /Users/sophia/Documents/PycharmProjects/Configural_Featural_Study/data/SR_configural_featural_2020_Oct_24_1958.psydat
22.6470 	INFO 	saved data to '/Users/sophia/Documents/PycharmProjects/Configural_Featural_Study/data/SR_configural_featural_2020_Oct_24_1958.csv'
