repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,prac_resp.rt,prac_fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
0,0,0,0,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H-8sim0.png,Stimuli/H6sim0.png,,,,,None,1,f,0,3.5492414007894695,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/f24.png,Stimuli/f24.png,f,1,None,1,,,,,,,1.0275927889160812,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1,Stimuli/edmd.png,Stimuli/f142.png,j,1,None,0,,,,,,,1.3486610050313175,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/eomu.png,Stimuli/eomu.png,f,1,None,1,,,,,,,1.0781833729706705,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/edmd.png,Stimuli/eumu.png,j,1,None,1,,,,,,,0.8075156370177865,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/f131.png,Stimuli/f131.png,,,,,None,1,f,1,0.4736612089909613,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/f15.png,Stimuli/eumu.png,,,,,None,1,j,1,0.6556046172045171,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,1,-0.17380935298900002,0,Stimuli/eumu.png,Stimuli/eumu.png,,,,,None,0,j,0,1.132984824012965,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/eomu.png,Stimuli/eimd.png,,,,,None,1,j,1,0.5979717075824738,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,f,1,None,1,,,,,,,0.5028444631025195,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H-8sim3.png,Stimuli/H-8sim2.png,j,1,None,1,,,,,,,0.9128239960409701,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0,Stimuli/H8sim0.png,Stimuli/H8sim0.png,f,1,None,0,,,,,,,0.5965692359022796,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H6sim0.png,Stimuli/H-8sim1.png,j,1,None,1,,,,,,,0.5482770008966327,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,,,,,None,1,j,0,0.33860171120613813,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,1,-0.17380935298900002,1,Stimuli/H8sim0.png,Stimuli/H-8sim3.png,,,,,None,0,j,1,0.44892262388020754,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H7sim0.png,Stimuli/H7sim0.png,,,,,None,1,f,1,0.6236924813129008,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H5sim0.png,Stimuli/H-8sim2.png,,,,,None,1,j,1,0.8574036173522472,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/f15.png,Stimuli/f15.png,None,0,space,0,,,,,,,,2.8700816109776497,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
