Block_type,instruction_text,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,fix_switches,side1L0R,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_4.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,0,0,0,0,0.05,0.05,0,1,0.0,Stimuli/eimd.png,Stimuli/edmd.png,None,None,None,s,0,1.8523829510086216,None,15.003517175966408,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,1,0,1,0,,,0,0,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,s,1,0.2287853520247154,None,17.60376725596143,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,2,0,2,0,,,0,1,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,s,1,0.28235938504803926,None,18.5538927949965,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,3,0,3,0,,,0,1,0.0,Stimuli/edmd.png,Stimuli/eimd.png,None,None,None,s,0,0.2478606679942459,None,19.55368480598554,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,4,0,4,0,,,1,1,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,s,1,0.5649589149979874,None,20.537120428984053,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,5,0,5,0,,,0,0,0.0,Stimuli/edmd.png,Stimuli/eimd.png,None,space,None,s,0,0.3263448659563437,None,21.839567266986705,None,0.12666664796415716,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,6,0,6,0,,,0,0,0.0,Stimuli/eumu.png,Stimuli/eimd.png,None,None,None,s,0,0.21269532496808097,None,22.887066026974935,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,7,0,7,0,,,0,0,0.0,Stimuli/eimd.png,Stimuli/eomu.png,None,None,None,s,0,0.501465431007091,None,23.820467453973833,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,8,0,8,0,,,0,1,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,s,1,0.09530904103303328,None,25.072940114012454,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,9,0,9,0,,,1,0,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,s,1,0.24142752296756953,None,25.887019313988276,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,10,0,10,0,,,1,1,0.0,Stimuli/eumu.png,Stimuli/edmd.png,None,None,None,s,0,0.11795753100886941,None,26.870666575967334,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,11,0,11,0,,,0,1,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,s,1,0.2354972460307181,None,27.7229830819997,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,12,0,12,0,,,0,0,0.0,Stimuli/eomu.png,Stimuli/eimd.png,None,None,None,s,0,0.12053793098311871,None,28.689670248015318,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,13,0,13,0,,,0,0,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,s,1,0.06292077800026163,None,29.537216905970126,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,14,0,14,0,,,0,1,0.0,Stimuli/eimd.png,Stimuli/eumu.png,None,None,None,s,0,0.0009032430243678391,None,30.320648973982316,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,15,0,15,0,,,0,1,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,s,1,0.13152681203791872,None,31.05388982599834,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,16,0,16,0,,,0,0,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,s,1,0.07227657397743315,None,31.92067247995874,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
