pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,X Scale,Y Scale,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,feedback_msg.started,feedback_msg.stopped,image_3.started,image_3.stopped,prac_fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
0,0,0,0,0.05,0.05,16.62590361700859,16.834735144046135,16.62590361700859,None,16.934477902948856,17.134245340013877,16.934477902948856,None,f,1,0.7472342050168663,17.120165628031828,None,None,1,17.120165628031828,None,17.88517443696037,None,17.88517443696037,None,,,1,2,2020_Oct_28_1741,configural_featural,2020.2.4,None,
1,0,1,0,,,19.942810875014402,20.152787846978754,19.942810875014402,None,20.21817315404769,20.418060572003014,20.21817315404769,None,j,1,0.6046900020446628,20.403673648950644,None,None,1,20.403673648950644,None,21.034353347029537,None,21.034353347029537,None,,,1,2,2020_Oct_28_1741,configural_featural,2020.2.4,None,
2,0,2,0,,,23.093488481943496,23.301481349975802,23.093488481943496,None,23.393713398021646,23.603335077059455,23.393713398021646,None,f,1,0.7638612079899758,23.570230433018878,None,None,1,23.570230433018878,None,24.351314691011794,None,24.351314691011794,None,,,1,2,2020_Oct_28_1741,configural_featural,2020.2.4,None,
3,0,3,0,,,26.36800196603872,26.56984533299692,26.36800196603872,None,26.710086893988773,26.920001716003753,26.710086893988773,None,j,1,0.5910551419947296,26.88472188299056,None,None,1,26.88472188299056,None,27.50107791100163,None,27.50107791100163,None,,,1,2,2020_Oct_28_1741,configural_featural,2020.2.4,None,
4,0,4,0,,,29.5598650110187,29.768057939014398,29.5598650110187,None,29.859711576020345,30.06812125898432,29.859711576020345,None,f,1,0.7222537640482187,30.034327115979977,None,None,0,30.034327115979977,None,30.80296051001642,None,30.80296051001642,None,,,1,2,2020_Oct_28_1741,configural_featural,2020.2.4,None,
5,0,5,0,,,32.82004597701598,33.03661110904068,32.82004597701598,None,33.100882197963074,33.30326197901741,33.100882197963074,None,f,1,1.0700549950124696,33.30326197901741,None,None,1,33.30326197901741,None,34.402011764002964,None,34.402011764002964,None,,,1,2,2020_Oct_28_1741,configural_featural,2020.2.4,None,
6,0,6,0,,,36.46114688401576,36.66837047494482,36.46114688401576,None,36.73650405195076,36.95347157702781,36.73650405195076,None,j,1,0.7184418279211968,36.91797036700882,None,None,1,36.91797036700882,None,37.65147344197612,None,37.65147344197612,None,,,1,2,2020_Oct_28_1741,configural_featural,2020.2.4,None,
7,0,7,0,,,39.6674008090049,39.86994298698846,39.6674008090049,None,40.02609584503807,40.23462984897196,40.02609584503807,None,j,1,1.2125266939401627,40.203277896973304,None,space,1,40.203277896973304,None,41.43441756395623,None,41.43441756395623,None,0.8411412530113012,,1,2,2020_Oct_28_1741,configural_featural,2020.2.4,None,
