X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,prac_fix_resp_fast.rt,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,repPracLoop.ran,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,fix_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fix_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text
,,,,,,,,,,,,0,-0.163380792,1,Stimuli/f15.png,Stimuli/edmd.png,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,1,j,1,1.033275,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,0,-0.163380792,1,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,j,0,1.216555,,1,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,0,-0.163380792,0,Stimuli/eumu.png,Stimuli/eimd.png,conf_face,j,1,1.506015,,1,1,0,1,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,0,-0.163380792,1,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,j,0,0.905845,,1,2,0,2,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,0,-0.163380792,0,Stimuli/eomu.png,Stimuli/eimd.png,conf_face,j,1,0.749935,,1,3,0,3,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,1,-0.163380792,1,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,f,1,0.78229,,0,4,0,4,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,0,-0.163380792,0,Stimuli/edmd.png,Stimuli/eumu.png,conf_face,f,0,1.34903,space,0,5,0,5,0,1,0.18859,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,0,-0.163380792,0,Stimuli/edmd.png,Stimuli/eimd.png,conf_face,j,1,1.11744,,1,6,0,6,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,0,-0.163380792,1,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,j,0,1.498485,,1,7,0,7,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,1,-0.163380792,0,Stimuli/eomu.png,Stimuli/edmd.png,conf_face,f,0,2.217165,,0,8,0,8,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,0,-0.163380792,0,Stimuli/edmd.png,Stimuli/eomu.png,conf_face,j,1,1.156705,space,0,9,0,9,0,1,0.267275,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,1,-0.163380792,1,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,f,1,1.583355,,0,10,0,10,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,0,-0.163380792,1,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,j,0,4.884035,space,0,11,0,11,0,1,0.21681,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,0,-0.163380792,0,Stimuli/eumu.png,Stimuli/edmd.png,conf_face,f,0,2.069395,,1,12,0,12,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,1,2,2021-01-11_12h20.05.960,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,0,-0.163380792,1,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,j,0,0.736105,,1,13,0,13,0,1,,,,,,,,
