Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0.05,0.05,213.42305293807294,213.62589601101354,213.42305293807294,None,213.8920103450073,None,214.57572183804587,None,f,0,0.02551291009876877,214.57572183804587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1736,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.27306255302392,221.47774703707546,221.27306255302392,None,221.7448178770719,None,221.90958412503824,None,space,1,2.9482737539801747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1736,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,2.2353180189384148,221.90958412503824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1736,configural_featural,2020.2.4,None,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0,Stimuli/dory2.png,Stimuli/dory2.png,232.22806872904766,232.44279963499866,232.22806872904766,None,232.5255486080423,232.72599861002527,232.5255486080423,None,f,1,1.4736163830384612,232.72599861002527,None,None,1,232.72599861002527,None,236.72607110301033,None,236.72607110301033,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1736,configural_featural,2020.2.4,None,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1,Stimuli/nemo2.png,Stimuli/nemo1.jpg,238.7731073120376,238.97763077006675,238.7731073120376,None,239.05971762700938,239.25939964002464,239.05971762700938,None,j,1,1.3100262609077618,239.24303512601182,None,space,0,239.24303512601182,None,243.24435122904833,None,243.24435122904833,None,1.9208420700160787,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1736,configural_featural,2020.2.4,None,
,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17295000000000002,0,Stimuli/dory1.png,Stimuli/dory1.png,245.2730873010587,245.47633986908477,245.2730873010587,None,245.57314864301588,245.7783766570501,245.57314864301588,None,f,1,0.8354127239435911,245.745254724985,None,space,1,245.745254724985,None,249.74302398308646,None,249.74302398308646,None,1.1565734490286559,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1736,configural_featural,2020.2.4,None,
,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,251.74279445805587,251.9450116190128,251.74279445805587,None,252.07190498302225,252.2783809780376,252.07190498302225,None,j,1,1.5179229619679973,252.24299405305646,None,None,1,252.24299405305646,None,256.2265428680694,None,256.2265428680694,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1736,configural_featural,2020.2.4,None,
,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0,Stimuli/nemo2.png,Stimuli/nemo2.png,258.2735523240408,258.4759913950693,258.2735523240408,None,258.5705545390956,258.7780084750848,258.5705545390956,None,f,1,0.6778804550413042,258.74528334708884,None,None,1,258.74528334708884,None,262.7262544380501,None,262.7262544380501,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1736,configural_featural,2020.2.4,None,
,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0,Stimuli/nemo2.png,Stimuli/nemo2.png,264.7686544340104,264.9763473360799,264.7686544340104,None,265.06839217303786,265.27818841603585,265.06839217303786,None,f,1,1.8430263920454308,265.24443653807975,None,None,1,265.24443653807975,None,269.22620024101343,None,269.22620024101343,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1736,configural_featural,2020.2.4,None,
,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17295000000000002,0,Stimuli/nemo1.jpg,Stimuli/nemo1.jpg,271.24302071507555,271.4432614230318,271.24302071507555,None,271.54312735504936,271.7454149260884,271.54312735504936,None,f,1,1.5211011099163443,271.7264523530612,None,space,1,271.7264523530612,None,275.7265469999984,None,275.7265469999984,None,1.7507060290081427,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1736,configural_featural,2020.2.4,None,
,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0,Stimuli/dory2.png,Stimuli/dory2.png,277.7446788750822,277.9594311550027,277.7446788750822,None,278.04465908301063,278.25973613001406,278.04465908301063,None,f,1,0.9942754169460386,278.22626480308827,None,space,0,278.22626480308827,None,282.22566007007845,None,282.22566007007845,None,1.37811107293237,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1736,configural_featural,2020.2.4,None,
,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1,Stimuli/dory1.png,Stimuli/dory2.png,284.2849040350411,284.4949838879984,284.2849040350411,None,284.5263595919823,284.72671081102453,284.5263595919823,None,j,1,1.3708877339959145,284.72671081102453,None,None,1,284.72671081102453,None,288.7266520860139,None,288.7266520860139,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1736,configural_featural,2020.2.4,None,
,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17295000000000002,1,Stimuli/dory1.png,Stimuli/dory2.png,290.7573532119859,290.96187913499307,290.7573532119859,None,291.02638191205915,291.2266528940527,291.02638191205915,None,j,1,0.8085045759798959,291.2266528940527,None,None,0,291.2266528940527,None,295.2259160029935,None,295.2259160029935,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1736,configural_featural,2020.2.4,None,
,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1,Stimuli/dory2.png,Stimuli/dory1.png,297.22841752599925,297.4432818540372,297.22841752599925,None,297.5737802879885,297.77664882305544,297.5737802879885,None,j,1,1.0183887910097837,297.7431389950216,None,space,0,297.7431389950216,None,301.7266152590746,None,301.7266152590746,None,1.8955720340600237,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1736,configural_featural,2020.2.4,None,
