repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,0.05,0.05,space,0.049993555061519146,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_2115,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,j,1,0.6146426708437502,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_2115,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,space,1,0.9334076941013336,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_2115,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,j,0,0.6001490289345384,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_2115,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/eumu.png,Stimuli/eumu.png,f,1,1.2167381369508803,space,0,2.7035100567154586,,,,,,,,1,2,2020_Dec_11_2115,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1,Stimuli/f24.png,Stimuli/eimd.png,j,1,1.2255355967208743,space,1,1.55753257824108,,,,,,,,1,2,2020_Dec_11_2115,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/f15.png,Stimuli/f15.png,f,1,1.2340902499854565,None,1,,,,,,,,,1,2,2020_Dec_11_2115,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/f142.png,Stimuli/edmd.png,j,1,1.2449599443934858,space,0,1.4690814749337733,,,,,,,,1,2,2020_Dec_11_2115,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/f131.png,Stimuli/f131.png,,,,,,,None,1,j,0,1.0360330352559686,,,1,2,2020_Dec_11_2115,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/f142.png,Stimuli/f131.png,,,,,,,None,1,j,1,2.6557161258533597,,,1,2,2020_Dec_11_2115,configural_featural,2020.2.4,None,[3584 2240],
