pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,X Scale,Y Scale,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,fix_resp.keys,fix_resp.corr,fix_resp.started,fix_resp.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,image_3.started,image_3.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
0,0,0,0,0.05,0.05,17.7940635579871,17.99715266696876,17.96363101899624,None,18.263675511989277,18.465832604968455,18.447102476959117,None,None,0,18.447102476959117,None,j,1,1.2053748660255224,18.447102476959117,None,19.679803135979455,None,,1,2,2020_Oct_28_0131,configural_featural,2020.2.4,None,
1,0,1,0,,,20.73905388097046,20.948993981000967,20.913999503012747,None,21.21387668797979,21.415647371963132,21.39691451797262,None,None,0,21.39691451797262,None,f,0,0.837102897989098,21.39691451797262,None,22.26367155095795,None,,1,2,2020_Oct_28_0131,configural_featural,2020.2.4,None,
2,0,2,0,,,23.282467615965288,23.499224270984996,23.464178380963858,None,23.823430517979432,24.030719375004992,23.99732188996859,None,None,0,23.99732188996859,None,j,1,0.903754910978023,23.99732188996859,None,24.930563728965353,None,,1,2,2020_Oct_28_0131,configural_featural,2020.2.4,None,
3,0,3,0,,,25.947355991986115,26.147361223993357,26.13316100096563,None,26.505715945968404,26.716037531965412,26.680641411978286,None,None,0,26.680641411978286,None,f,0,0.35797354800160974,26.680641411978286,None,27.06405604997417,None,,1,2,2020_Oct_28_0131,configural_featural,2020.2.4,None,
