Block_type,instruction_text,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,text_top.started,text_top.stopped,text_bottom.started,text_bottom.stopped,ccimage.started,ccimage.stopped,text_3.started,text_3.stopped,fix_switches,side,target,probe,text_4.started,text_4.stopped,target_image.started,target_image.stopped,text.started,text.stopped,text_5.started,text_5.stopped,probe_image.started,probe_image.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,12,0,12,0,,,,,,,,,,,0,1,Stimuli/edmd.png,Stimuli/edmd.png,26.143787867971696,None,26.143787867971696,None,26.343636382953264,None,26.6439342169906,None,26.6439342169906,None,26.84406345000025,None,d,0,0.1734368019970134,26.84406345000025,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,13,0,13,0,,,,,,,,,,,0,0,Stimuli/eimd.png,Stimuli/eumu.png,27.044143439969048,None,27.044143439969048,None,27.24441833596211,None,27.54428402998019,None,27.54428402998019,None,27.744048536987975,None,d,1,0.13282329100184143,27.744048536987975,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,14,0,14,0,,,,,,,,,,,0,1,Stimuli/eumu.png,Stimuli/eimd.png,27.894079036952462,None,27.894079036952462,None,28.09412263298873,None,28.394355426949915,None,28.394355426949915,None,28.59621543099638,None,d,1,0.007704194984398782,28.59621543099638,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,15,0,15,0,,,,,,,,,,,0,0,Stimuli/eimd.png,Stimuli/eimd.png,28.627599306986667,None,28.627599306986667,None,28.827547709981445,None,29.12751861597644,None,29.12751861597644,None,29.3272316599614,None,d,0,0.02702015097020194,29.3272316599614,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,16,0,16,0,,,,,,,,,,,1,0,Stimuli/edmd.png,Stimuli/edmd.png,29.377575338992756,None,29.377575338992756,None,29.57782630098518,None,29.877675227995496,None,29.877675227995496,None,30.08017575897975,None,d,0,0.1610470439773053,30.08017575897975,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,17,0,17,0,,,,,,,,,,,0,1,Stimuli/eomu.png,Stimuli/eimd.png,30.26089721295284,None,30.26089721295284,None,30.46126378700137,None,30.761020398989785,None,30.761020398989785,None,30.963215843949,None,d,1,0.345506633981131,30.963215843949,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,18,0,18,0,,,,,,,,,,,0,0,Stimuli/edmd.png,Stimuli/eumu.png,31.327494677971117,None,31.327494677971117,None,31.527854245970957,None,31.827862354984973,None,31.827862354984973,None,32.02762014395557,None,d,1,0.10902014403836802,32.02762014395557,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,19,0,19,0,,,,,,,,,,,0,1,Stimuli/eimd.png,Stimuli/eimd.png,32.16055313398829,None,32.16055313398829,None,32.363009416963905,None,32.67772548698122,None,32.67772548698122,None,32.87805917300284,None,d,0,0.6495432789670303,32.87805917300284,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,20,0,20,0,,,,,,,,,,,0,0,Stimuli/eomu.png,Stimuli/eomu.png,33.544213925953954,None,33.544213925953954,None,33.74456966796424,None,34.0445810649544,None,34.0445810649544,None,34.244415764987934,None,d,0,0.3428906360059045,34.244415764987934,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,21,0,21,0,,,,,,,,,,,0,0,Stimuli/eimd.png,Stimuli/edmd.png,34.610375838994514,None,34.610375838994514,None,34.81084227899555,None,35.11139010399347,None,35.11139010399347,None,35.31345610896824,None,s,0,0.24519532202975824,35.31345610896824,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,22,0,22,0,,,,,,,,,,,0,1,Stimuli/eomu.png,Stimuli/edmd.png,35.577755106962286,None,35.577755106962286,None,35.7796472350019,None,36.0778611949645,None,36.0778611949645,None,36.27997947100084,None,s,0,0.2859994070022367,36.27997947100084,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,23,0,23,0,,,,,,,,,,,0,0,Stimuli/eumu.png,Stimuli/eumu.png,36.59390522597823,None,36.59390522597823,None,36.79395910596941,None,37.094595972972456,None,37.094595972972456,None,37.29442934296094,None,s,1,0.0846073940047063,37.29442934296094,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,0,0,0,0,,,,,,,,,37.41305020300206,None,0,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,39.76088750496274,None,39.76088750496274,None,39.9631187269697,None,40.27774449798744,None,40.27774449798744,None,40.477594872005284,None,s,1,0.0051869829767383635,40.477594872005284,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,1,0,1,0,,,,,,,,,,,0,0,Stimuli/H-8sim0.png,Stimuli/H-8sim2.png,40.51100098795723,None,40.51100098795723,None,40.71051417698618,None,41.010994387965184,None,41.010994387965184,None,41.21119366399944,None,s,0,0.8697664790088311,41.21119366399944,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,2,0,2,0,,,,,,,,,,,0,0,Stimuli/H-8sim2.png,Stimuli/H-8sim1.png,42.11114206898492,None,42.11114206898492,None,42.310535296972375,None,42.6110964359832,None,42.6110964359832,None,42.81123115494847,None,s,0,0.07143663900205866,42.81123115494847,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,3,0,3,0,,,,,,,,,,,0,0,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,42.910773885960225,None,42.910773885960225,None,43.111182566965,None,43.411278632993344,None,43.411278632993344,None,43.61096814298071,None,s,1,0.10615716699976474,43.61096814298071,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,4,0,4,0,,,,,,,,,,,0,1,Stimuli/H-8sim0.png,Stimuli/H-8sim3.png,43.74449023796478,None,43.74449023796478,None,43.94436001096619,None,44.24477031797869,None,44.24477031797869,None,44.44473839196144,None,s,0,0.06917495204834267,44.44473839196144,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,5,0,5,0,,,,,,,,,,,0,1,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,44.54404250899097,None,44.54404250899097,None,44.744381478987634,None,45.04441339796176,None,45.04441339796176,None,45.24457951897057,None,s,1,0.47883182403165847,45.24457951897057,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,6,0,6,0,,,,,,,,,,,0,0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,45.744170302990824,None,45.744170302990824,None,45.94471207499737,None,46.24462503299583,None,46.24462503299583,None,46.4447170579806,None,s,1,0.48698698496446013,46.4447170579806,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,7,0,7,0,,,,,,,,,,,0,1,Stimuli/H-8sim1.png,Stimuli/H-8sim3.png,46.961053400998935,None,46.961053400998935,None,47.163305468973704,None,47.478116568992846,None,47.478116568992846,None,47.66120792296715,None,s,0,0.38026096898829564,47.66120792296715,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,8,0,8,0,,,,,,,,,,,0,1,Stimuli/H-8sim0.png,Stimuli/H-8sim1.png,48.06143530696863,None,48.06143530696863,None,48.26084583095508,None,48.5611323339981,None,48.5611323339981,None,48.76150094898185,None,s,0,0.43485618103295565,48.76150094898185,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,9,0,9,0,,,,,,,,,,,0,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,49.22733675397467,None,49.22733675397467,None,49.42766801494872,None,49.72790974599775,None,49.72790974599775,None,49.927899638947565,None,s,1,0.36476733500603586,49.927899638947565,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,10,0,10,0,,,,,,,,,,,0,1,Stimuli/H-8sim2.png,Stimuli/H-8sim0.png,50.31133720296202,None,50.31133720296202,None,50.511584064981434,None,50.81161496596178,None,50.81161496596178,None,51.011313651979435,None,s,0,0.15202040399890393,51.011313651979435,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,11,0,11,0,,,,,,,,,,,0,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,51.19451784295961,None,51.19451784295961,None,51.394561852968764,None,51.69471957499627,None,51.69471957499627,None,51.89429572899826,None,s,1,0.12219169602030888,51.89429572899826,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,12,0,12,0,,,,,,,,,,,0,0,Stimuli/H-8sim1.png,Stimuli/H-8sim2.png,52.04441080795368,None,52.04441080795368,None,52.244734226958826,None,52.544778865994886,None,52.544778865994886,None,52.74449770699721,None,s,0,0.18780398002127185,52.74449770699721,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,13,0,13,0,,,,,,,,,,,0,1,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,52.96148005698342,None,52.96148005698342,None,53.16402028297307,None,53.47812733997125,None,53.47812733997125,None,53.678204551979434,None,s,1,0.09591322101186961,53.678204551979434,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,14,0,14,0,,,,,,,,,,,1,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,53.79464224597905,None,53.79464224597905,None,53.99471416597953,None,54.294787232996896,None,54.294787232996896,None,54.49453668197384,None,d,0,0.023484427016228437,54.49453668197384,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,15,0,15,0,,,,,,,,,,,0,0,Stimuli/H-8sim3.png,Stimuli/H-8sim0.png,54.5448497000034,None,54.5448497000034,None,54.74455746595049,None,55.04461274796631,None,55.04461274796631,None,55.24445073097013,None,d,1,0.09767826099414378,55.24445073097013,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,16,0,16,0,,,,,,,,,,,0,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,55.36135858600028,None,55.36135858600028,None,55.56111603497993,None,55.86092382000061,None,55.86092382000061,None,56.06089696800336,None,d,0,0.08980417798738927,56.06089696800336,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,17,0,17,0,,,,,,,,,,,0,1,Stimuli/H-8sim3.png,Stimuli/H-8sim1.png,56.17733280395623,None,56.17733280395623,None,56.377352127979975,None,56.67812686099205,None,56.67812686099205,None,56.87812909897184,None,d,1,0.04998411500127986,56.87812909897184,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,18,0,18,0,,,,,,,,,,,0,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,56.944341807975434,None,56.944341807975434,None,57.14426242595073,None,57.44397184596164,None,57.44397184596164,None,57.64451436296804,None,d,0,0.21407430100953206,57.64451436296804,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,19,0,19,0,,,,,,,,,,,0,0,Stimuli/H-8sim1.png,Stimuli/H-8sim0.png,57.8779278449947,None,57.8779278449947,None,58.07779360195855,None,58.377899382961914,None,58.377899382961914,None,58.57813433598494,None,d,1,0.07277333596721292,58.57813433598494,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,20,0,20,0,,,,,,,,,,,0,0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,58.67796361097135,None,58.67796361097135,None,58.88013049896108,None,59.19424181897193,None,59.19424181897193,None,59.3945362289669,None,d,0,0.14494710799772292,59.3945362289669,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,21,0,21,0,,,,,,,,,,,1,1,Stimuli/H-8sim2.png,Stimuli/H-8sim3.png,59.56128597195493,None,59.56128597195493,None,59.760674194956664,None,60.06129062495893,None,60.06129062495893,None,60.26150391396368,None,d,1,0.062411576975136995,60.26150391396368,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,22,0,22,0,,,,,,,,,,,0,0,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,60.344850190973375,None,60.344850190973375,None,60.54685561195947,None,60.84472645597998,None,60.84472645597998,None,61.044930131,None,d,0,0.08542050200048834,61.044930131,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,23,0,23,0,,,,,,,,,,,0,0,Stimuli/H-8sim3.png,Stimuli/H-8sim2.png,61.16120272397529,None,61.16120272397529,None,61.36126013100147,None,61.6612775149988,None,61.6612775149988,None,61.861328355968,None,d,1,0.02909090300090611,61.861328355968,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
feat_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,2,2,2,0,0,0,0,,,,,,,,,61.910665354982484,None,0,1,Stimuli/f142.png,Stimuli/f142.png,63.37786121497629,None,63.37786121497629,None,63.57824017194798,None,63.87804082297953,None,63.87804082297953,None,64.07831939199241,None,s,1,0.6510531540261582,64.07831939199241,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
feat_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,2,2,2,1,0,1,0,,,,,,,,,,,0,0,Stimuli/f142.png,Stimuli/f24.png,64.7441889049951,None,64.7441889049951,None,64.94455968996044,None,65.2447658929741,None,65.2447658929741,None,65.4448307879502,None,s,0,0.3686645720154047,65.4448307879502,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
feat_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,2,2,2,2,0,2,0,,,,,,,,,,,1,1,Stimuli/f15.png,Stimuli/f142.png,65.86294673598604,None,65.86294673598604,None,66.06135736696888,None,66.36138903000392,None,66.36138903000392,None,66.5615821449901,None,s,0,0.013029674999415874,66.5615821449901,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
feat_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,2,2,2,3,0,3,0,,,,,,,,,,,0,1,Stimuli/f131.png,Stimuli/f131.png,66.5940517319832,None,66.5940517319832,None,66.79491475597024,None,67.09453906898852,None,67.09453906898852,None,67.29451114399126,None,d,0,0.009952705004252493,67.29451114399126,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
feat_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,2,2,2,4,0,4,0,,,,,,,,,,,0,0,Stimuli/f24.png,Stimuli/f24.png,67.32804428000236,None,67.32804428000236,None,67.52798294898821,None,67.82782744296128,None,67.82782744296128,None,68.02822692896007,None,d,0,0.35564736800733954,68.02822692896007,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
feat_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,2,2,2,5,0,5,0,,,,,,,,,,,0,0,Stimuli/f131.png,Stimuli/f142.png,68.41143008699873,None,68.41143008699873,None,68.61409240099601,None,68.92830882000271,None,68.92830882000271,None,69.12805752898566,None,d,1,0.12303858203813434,69.12805752898566,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
feat_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,2,2,2,6,0,6,0,,,,,,,,,,,0,0,Stimuli/f15.png,Stimuli/f15.png,69.27772642695345,None,69.27772642695345,None,69.47829192399513,None,69.77823607198661,None,69.77823607198661,None,69.97824926394969,None,d,0,0.08466341102030128,69.97824926394969,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
feat_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,2,2,2,7,0,7,0,,,,,,,,,,,0,1,Stimuli/f15.png,Stimuli/f131.png,70.07800864498131,None,70.07800864498131,None,70.27799282898195,None,70.57800746196881,None,70.57800746196881,None,70.77807604998816,None,s,0,0.13868375099264085,70.77807604998816,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
feat_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,2,2,2,8,0,8,0,,,,,,,,,,,0,1,Stimuli/f24.png,Stimuli/f142.png,70.94432313396828,None,70.94432313396828,None,71.14475862198742,None,71.44470022397581,None,71.44470022397581,None,71.64463648200035,None,s,0,0.09108701103832573,71.64463648200035,None,SR,1,1,2020_Oct_24_2039,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,0,1,Stimuli/f142.png,Stimuli/f15.png,71.76142399100354,None,71.76142399100354,None,71.9615939509822,None,72.26129124197178,None,72.26129124197178,None,,,,,,,,,,,,,,,
