X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
0.05,0.05,30.632855350966565,30.83781934902072,30.632855350966565,None,31.102346878964454,None,31.769114215974696,None,j,1,2.1496594690252095,31.769114215974696,None,,,,,,,,1,2,2020_Oct_30_1718,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,39.19435099395923,39.40275137301069,39.19435099395923,None,39.65273544494994,None,,,,,,,,
