X Scale,Y Scale,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text,key_resp_6.rt
,,0,0.17295,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,f,0,0.738,,25,0,25,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,0,Stimuli/eimd.png,Stimuli/eomu.png,,,,f,1,1.525,,26,0,26,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,0,Stimuli/eumu.png,Stimuli/edmd.png,,,,f,1,1.041,,27,0,27,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,j,1,1.686,,28,0,28,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,j,1,1.557,,29,0,29,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,j,1,0.941,,30,0,30,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,f,0,1.284,,31,0,31,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,1,-0.17295,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,j,1,0.907,,32,0,32,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,1,0.17295,0,Stimuli/edmd.png,Stimuli/eomu.png,,,,j,0,0.673,,33,0,33,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,0,Stimuli/edmd.png,Stimuli/eomu.png,,,,f,1,0.858,,34,0,34,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,1,-0.17295,0,Stimuli/eumu.png,Stimuli/edmd.png,,,,f,1,2.006,,35,0,35,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,0,Stimuli/edmd.png,Stimuli/eumu.png,,,,j,0,3.31,,36,0,36,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,0,Stimuli/eumu.png,Stimuli/eimd.png,,,,j,0,0.842,,37,0,37,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,j,1,2.007,,38,0,38,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,j,1,1.137,,39,0,39,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,0,Stimuli/edmd.png,Stimuli/eimd.png,,,,f,1,0.606,,40,0,40,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,j,1,1.185,,41,0,41,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,1,-0.17295,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,f,0,0.804,,42,0,42,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,0,Stimuli/eomu.png,Stimuli/eimd.png,,,,j,0,1.369,,43,0,43,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
