pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,X Scale,Y Scale,text_13.started,text_13.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_10.started,image_10.stopped,image_11.started,image_11.stopped,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,prePrac2_imgResp.started,prePrac2_imgResp.stopped,text_12.started,text_12.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,transition.started,transition.stopped,image_4.started,image_4.stopped,text_10.started,text_10.stopped,image_5.started,image_5.stopped,text_11.started,text_11.stopped,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_fix_resp_fast.started,prac_fix_resp_fast.stopped,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_resp2.started,prac_resp2.stopped,prac_fix_resp_fast.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,0.05,0.05,68.18756181187928,None,space,0.1284346089232713,69.17243581800722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,69.3202543607913,74.82266778382473,75.30400026100688,None,83.22047818498686,83.72087338380516,83.22047818498686,None,84.00359495100565,None,84.70446199690923,None,j,1,0.634200147120282,84.70446199690923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.20437218388543,90.70452644582838,90.20437218388543,None,90.9880751578603,None,91.5037391949445,None,space,1,3.743163987994194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,3.2694720511790365,91.5037391949445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.05535809486173,None,0,0.17296,0,Stimuli/f131.png,Stimuli/f131.png,107.57293991278857,108.08765659388155,107.57293991278857,None,108.35400725482032,108.85639720479958,108.35400725482032,None,f,1,0.8883743251208216,108.55426532193087,None,None,1,108.55426532193087,None,112.57262043096125,None,112.57262043096125,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0,Stimuli/f15.png,Stimuli/f15.png,114.5898180459626,115.0877938948106,114.5898180459626,None,115.35429251589812,115.85463460697792,115.35429251589812,None,f,1,0.8624708110000938,115.55694073997438,None,None,1,115.55694073997438,None,119.5539694367908,None,119.5539694367908,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,1,Stimuli/f142.png,Stimuli/eomu.png,121.55428240890615,122.05433953995816,121.55428240890615,None,122.37295013084076,122.87136652483605,122.37295013084076,None,j,1,0.9227230311371386,122.55431686178781,126.55598487798125,space,1,122.55431686178781,126.55598487798125,126.57132812985219,None,126.57132812985219,None,1.1555663540493697,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1,Stimuli/eimd.png,Stimuli/f131.png,128.55434050690383,129.05553844897076,128.55434050690383,None,129.3538613449782,129.85602357191965,129.3538613449782,None,j,1,0.8982538650743663,129.55392436590046,None,None,1,129.55392436590046,None,133.55446372297592,None,133.55446372297592,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1,Stimuli/f131.png,Stimuli/f24.png,,,,,,,,,,,,,,,,,,143.25415431894362,None,143.25415431894362,None,,135.55389502178878,None,138.57291591796093,138.7899489738047,138.57291591796093,None,139.07231247983873,139.27044746489264,139.07231247983873,None,None,1,139.2558567568194,None,j,1,0.7393484439235181,139.2558567568194,None,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/eimd.png,Stimuli/eimd.png,,,,,,,,,,,,,,,,,,149.9714844818227,None,149.9714844818227,None,,,,145.2546851739753,145.45649607782252,145.2546851739753,None,145.7546695577912,145.95457244594581,145.7546695577912,None,None,1,145.93774828291498,149.93994589988142,j,0,1.300312896957621,145.93774828291498,149.93994589988142,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
