0.2228 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
4.5935 	INFO 	Loaded monitor calibration from ['2020_09_20 15:42']
6.7818 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

6.7823 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x153f50ba8>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1556fb9e8>, multiSample=False, name='window1', numSamples=2, pos=[448.0, 280.0], screen=0, size=array([3584, 2240]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.7826 	EXP 	window1: mouseVisible = True
6.7826 	EXP 	window1: recordFrameIntervals = False
6.9484 	EXP 	window1: recordFrameIntervals = True
8.6153 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

9.0476 	EXP 	Created text_top = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_top', opacity=1.0, ori=0, pos=array([0. , 0.3]), rgb=array([0., 0., 0.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
9.0536 	EXP 	Created text_bottom = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_bottom', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([0., 0., 0.]), text='Press Space when you’re finished', units='height', win=Window(...), wrapWidth=1)
9.0629 	EXP 	Created ccimage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, image='bankcard.png', interpolate=True, mask=None, maskParams=None, name='ccimage', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.428 , 0.2699]), texRes=512, units='height', win=Window(...))
9.0642 	EXP 	Created target_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='target_image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=512, units='height', win=Window(...))
9.0670 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
9.0684 	EXP 	Created probe_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='probe_image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=512, units='height', win=Window(...))
9.0694 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
9.4900 	WARNING 	t of last frame was 874.88ms (=1/1)
9.4900 	EXP 	text_top: autoDraw = True
9.4900 	EXP 	text_bottom: autoDraw = True
9.4900 	EXP 	ccimage: autoDraw = True
9.5124 	WARNING 	t of last frame was 22.37ms (=1/44)
9.5335 	WARNING 	t of last frame was 21.17ms (=1/47)
11.5848 	DATA 	Keypress: space
11.5896 	DEBUG 	Read csv file with pandas: Designs/design1.csv
11.5921 	DEBUG 	Clearing unnamed columns from Designs/design1.csv
11.5924 	EXP 	Imported Designs/design1.csv as conditions, 4 conditions, 2 params
11.5927 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
11.5930 	EXP 	New trial (rep=0, index=0): OrderedDict([('Block_type', 'conf_face'), ('instruction_text', 'Press S for same or D for different faces. Press <SPACE> to continue.')])
11.5935 	EXP 	Created sequence: sequential, trialTypes=1, nReps=24, seed=None
11.5938 	EXP 	New trial (rep=0, index=0): None
11.6152 	WARNING 	t of last frame was 33.87ms (=1/29)
11.6152 	EXP 	ccimage: size = [0.42800000000000005, 0.2699]
11.6152 	EXP 	text_top: autoDraw = False
11.6152 	EXP 	text_bottom: autoDraw = False
11.6152 	EXP 	ccimage: autoDraw = False
11.6152 	EXP 	target_image: size = array([0.17295, 0.17295])
11.6152 	EXP 	target_image: image = 'Stimuli/eimd.png'
11.6152 	EXP 	target_image: autoDraw = True
11.8151 	EXP 	target_image: autoDraw = False
11.8151 	EXP 	text: color = '[ 1.    0.65 -1.  ] (rgb)'
11.8151 	EXP 	text: autoDraw = True
12.0148 	EXP 	text: autoDraw = False
12.0148 	EXP 	probe_image: size = array([0.17295, 0.17295])
12.0148 	EXP 	probe_image: image = 'Stimuli/eomu.png'
12.0148 	EXP 	probe_image: autoDraw = True
12.2151 	EXP 	probe_image: autoDraw = False
12.2151 	EXP 	text_2: color = '[ 1.    0.65 -1.  ] (rgb)'
12.2151 	EXP 	text_2: autoDraw = True
12.8695 	DATA 	Keypress: f
13.9683 	EXP 	New trial (rep=1, index=0): None
13.9745 	DATA 	Keypress: space
13.9815 	EXP 	text_2: autoDraw = False
13.9815 	EXP 	target_image: size = array([0.17295, 0.17295])
13.9815 	EXP 	target_image: image = 'Stimuli/eomu.png'
13.9815 	EXP 	target_image: autoDraw = True
14.1818 	EXP 	target_image: autoDraw = False
14.1818 	EXP 	target_image: autoDraw = False
14.1818 	EXP 	text: color = '[ 1.    0.65 -1.  ] (rgb)'
14.1818 	EXP 	text: autoDraw = True
14.3818 	EXP 	text: autoDraw = False
14.3818 	EXP 	text: autoDraw = False
14.3818 	EXP 	probe_image: size = array([0.17295, 0.17295])
14.3818 	EXP 	probe_image: image = 'Stimuli/eomu.png'
14.3818 	EXP 	probe_image: autoDraw = True
14.5818 	EXP 	probe_image: autoDraw = False
14.5818 	EXP 	probe_image: autoDraw = False
14.5818 	EXP 	text_2: color = '[ 1.    0.65 -1.  ] (rgb)'
14.5818 	EXP 	text_2: autoDraw = True
14.9857 	EXP 	New trial (rep=2, index=0): None
14.9949 	DATA 	Keypress: space
15.0169 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
15.0168 	EXP 	text_2: autoDraw = False
15.0168 	EXP 	target_image: size = array([0.17295, 0.17295])
15.0168 	EXP 	target_image: image = 'Stimuli/eimd.png'
15.0168 	EXP 	target_image: autoDraw = True
15.2151 	EXP 	target_image: autoDraw = False
15.2151 	EXP 	text: color = '[ 1.    0.65 -1.  ] (rgb)'
15.2151 	EXP 	text: autoDraw = True
15.4147 	EXP 	text: autoDraw = False
15.4147 	EXP 	probe_image: size = array([0.17295, 0.17295])
15.4147 	EXP 	probe_image: image = 'Stimuli/eumu.png'
15.4147 	EXP 	probe_image: autoDraw = True
15.6151 	EXP 	probe_image: autoDraw = False
15.6151 	EXP 	text_2: color = '[ 1.    0.65 -1.  ] (rgb)'
15.6151 	EXP 	text_2: autoDraw = True
16.0173 	EXP 	New trial (rep=3, index=0): None
16.0236 	DATA 	Keypress: space
16.0317 	EXP 	text_2: autoDraw = False
16.0317 	EXP 	target_image: size = array([0.17295, 0.17295])
16.0317 	EXP 	target_image: image = 'Stimuli/edmd.png'
16.0317 	EXP 	target_image: autoDraw = True
16.2318 	EXP 	target_image: autoDraw = False
16.2318 	EXP 	text: color = '[ 1.    0.65 -1.  ] (rgb)'
16.2318 	EXP 	text: autoDraw = True
16.4319 	EXP 	text: autoDraw = False
16.4319 	EXP 	text: autoDraw = False
16.4319 	EXP 	probe_image: size = array([0.17295, 0.17295])
16.4319 	EXP 	probe_image: image = 'Stimuli/eomu.png'
16.4319 	EXP 	probe_image: autoDraw = True
16.6317 	EXP 	probe_image: autoDraw = False
16.6317 	EXP 	text_2: color = '[ 1.    0.65 -1.  ] (rgb)'
16.6317 	EXP 	text_2: autoDraw = True
16.9994 	EXP 	New trial (rep=4, index=0): None
17.0060 	DATA 	Keypress: space
17.0151 	EXP 	text_2: autoDraw = False
17.0151 	EXP 	target_image: size = array([0.17295, 0.17295])
17.0151 	EXP 	target_image: image = 'Stimuli/eumu.png'
17.0151 	EXP 	target_image: autoDraw = True
17.2151 	EXP 	target_image: autoDraw = False
17.2151 	EXP 	target_image: autoDraw = False
17.2151 	EXP 	text: color = '[ 1.    0.65 -1.  ] (rgb)'
17.2151 	EXP 	text: autoDraw = True
17.4152 	EXP 	text: autoDraw = False
17.4152 	EXP 	probe_image: size = array([0.17295, 0.17295])
17.4152 	EXP 	probe_image: image = 'Stimuli/eumu.png'
17.4152 	EXP 	probe_image: autoDraw = True
17.6152 	EXP 	probe_image: autoDraw = False
17.6152 	EXP 	text_2: color = '[ 1.    0.65 -1.  ] (rgb)'
17.6152 	EXP 	text_2: autoDraw = True
18.0672 	EXP 	New trial (rep=5, index=0): None
18.3450 	EXP 	window1: mouseVisible = True
18.3466 	DEBUG 	Saving data for configural_featural ExperimentHandler
18.3473 	INFO 	saved data to /Users/sophia/Documents/PycharmProjects/Configural_Featural_Study/data/SR_configural_featural_2020_Oct_24_1716.psydat
18.3480 	INFO 	saved data to '/Users/sophia/Documents/PycharmProjects/Configural_Featural_Study/data/SR_configural_featural_2020_Oct_24_1716.csv'
