Block_type,instruction_text,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,text_top.started,text_top.stopped,text_bottom.started,text_bottom.stopped,ccimage.started,ccimage.stopped,text_3.started,text_3.stopped,fix_switches,side,target_image.started,target_image.stopped,text.started,text.stopped,probe_image.started,probe_image.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,15,0,15,0,,,,,,,,,,,0,0,34.69706898502773,None,34.899672236002516,None,35.1144239520072,None,35.297435885004234,None,space,0.1859485759632662,35.297435885004234,None,SR,1,1,2020_Oct_24_2013,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,16,0,16,0,,,,,,,,,,,0,0,35.514201109996065,None,35.714285514026415,None,35.91411751904525,None,36.11420995101798,None,space,0.3108942449907772,36.11420995101798,None,SR,1,1,2020_Oct_24_2013,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,17,0,17,0,,,,,,,,,,,0,0,36.44730937801069,None,36.64765592000913,None,36.847523069998715,None,37.04753934103064,None,space,0.2971721210051328,37.04753934103064,None,SR,1,1,2020_Oct_24_2013,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,18,0,18,0,,,,,,,,,,,0,1,37.364107144006994,None,37.56685318402015,None,37.76406326104188,None,37.96416091604624,None,space,0.19461964099900797,37.96416091604624,None,SR,1,1,2020_Oct_24_2013,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,19,0,19,0,,,,,,,,,,,0,1,38.18098548799753,None,38.38279170100577,None,38.5805644140346,None,38.78076942602638,None,space,0.05507729999953881,38.78076942602638,None,SR,1,1,2020_Oct_24_2013,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,20,0,20,0,,,,,,,,,,,0,1,38.86438314401312,None,39.06613429100253,None,39.26428058301099,None,39.464300842024386,None,space,0.019490359001792967,39.464300842024386,None,SR,1,1,2020_Oct_24_2013,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,21,0,21,0,,,,,,,,,,,0,1,39.514200299046934,None,39.71467359201051,None,39.914327905047685,None,40.11427173903212,None,space,0.28408308897633106,40.11427173903212,None,SR,1,1,2020_Oct_24_2013,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,22,0,22,0,,,,,,,,,,,0,0,40.430782220035326,None,40.63306793500669,None,40.847925600013696,None,41.049545955029316,None,space,3.38662988395663,41.049545955029316,None,SR,1,1,2020_Oct_24_2013,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,23,0,23,0,,,,,,,,,,,0,1,44.46416562399827,None,44.66383823903743,None,44.864438129006885,None,45.06637998303631,None,space,0.321492595016025,45.06637998303631,None,SR,1,1,2020_Oct_24_2013,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,0,0,0,0,,,,,,,,,45.41359193704557,None,0,0,46.46427031204803,None,46.66431369201746,None,46.86455321201356,None,47.064608013024554,None,space,0.2576202009804547,47.064608013024554,None,SR,1,1,2020_Oct_24_2013,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,1,0,1,0,,,,,,,,,,,0,0,47.3472672610078,None,47.55045797704952,None,47.76466237701243,None,47.964344577048905,None,space,0.29640512802870944,47.964344577048905,None,SR,1,1,2020_Oct_24_2013,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,2,0,2,0,,,,,,,,,,,0,0,48.28109124203911,None,48.481083729013335,None,48.68123095401097,None,48.88306523102801,None,space,0.2491565070231445,48.88306523102801,None,SR,1,1,2020_Oct_24_2013,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,0,0,49.14762276201509,None,49.349586170050316,None,49.564396659028716,None,,,,,,,,,,,,,,
