Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_6.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.12979000000000002,1,Stimuli/dory1.png,Stimuli/dory2.png,113.44000429601874,113.64845828001853,113.44000429601874,None,113.700139616034,113.8984699449502,113.700139616034,None,j,1,0.7234769830247387,113.88352721300907,None,None,1,113.88352721300907,None,117.88166282803286,None,117.88166282803286,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.12979000000000002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,f,1,2.039115961990319,None,127.88169220392592,None,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12979000000000002,0.0,Stimuli/eimd.png,Stimuli/eumu.png,None,None,None,f,0,0.8907245810842142,None,130.66701377299614,None,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.12979000000000002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,f,1,0.48671764007303864,None,132.28140107903164,None,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.12979000000000002,0.0,Stimuli/eimd.png,Stimuli/eumu.png,None,None,None,f,0,0.16314435796812177,None,133.4985865689814,None,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.12979000000000002,0.0,Stimuli/edmd.png,Stimuli/eomu.png,None,None,None,f,0,0.5668973870342597,None,134.38194902800024,None,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.12979000000000002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,f,1,0.33805745595600456,None,135.68172426498495,None,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12979000000000002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,f,1,0.40280874993186444,None,136.7498186159646,None,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12979000000000002,0.0,Stimuli/edmd.png,Stimuli/eumu.png,None,None,None,f,0,0.5445986059494317,None,137.89796400803607,None,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12979000000000002,0.0,Stimuli/eimd.png,Stimuli/edmd.png,None,None,None,f,0,0.7138946648919955,None,139.1649753189413,None,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
