X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
0.05,0.05,30.145135577069595,30.35528126603458,30.145135577069595,None,30.602637019008398,None,30.786719016032293,None,j,1,2.8253712409641594,30.786719016032293,None,,,,,,,,,,,,,,,1,2,2020_Oct_29_2345,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,37.73364114202559,37.936806878075004,37.73364114202559,None,38.20350098598283,None,38.370176177006215,None,f,1,1.0311864051036537,38.370176177006215,None,,1,2,2020_Oct_29_2345,configural_featural,2020.2.4,None,
