Block_type,instruction_text,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,fix_switches,side1L0R,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,0,0,0,0,0.05,0.05,0,0,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,s,1,1.8339031639625318,None,36.11325355898589,None,code,1,2,2020_Oct_25_1637,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,1,0,1,0,,,0,0,0.0,Stimuli/edmd.png,Stimuli/eomu.png,None,None,None,d,1,0.5752178260008805,None,38.663416208000854,None,code,1,2,2020_Oct_25_1637,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,2,0,2,0,,,0,1,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,s,1,0.32143357396125793,None,39.96264607796911,None,code,1,2,2020_Oct_25_1637,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,3,0,3,0,,,0,0,0.0,Stimuli/eomu.png,Stimuli/eimd.png,None,None,None,d,1,0.3444548159604892,None,41.01343194098445,None,code,1,2,2020_Oct_25_1637,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,4,0,4,0,,,0,1,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,s,1,0.39125045196851715,None,42.08005851897178,None,code,1,2,2020_Oct_25_1637,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,5,0,5,0,,,0,0,0.0,Stimuli/eumu.png,Stimuli/edmd.png,None,None,None,s,0,0.3638796259765513,None,43.19675178400939,None,code,1,2,2020_Oct_25_1637,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,6,0,6,0,,,0,1,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,d,0,0.5389430760405958,None,44.282368448970374,None,code,1,2,2020_Oct_25_1637,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,7,0,7,0,,,1,1,0.0,Stimuli/eomu.png,Stimuli/edmd.png,None,None,None,d,1,0.3616351520176977,None,45.54676333698444,None,code,1,2,2020_Oct_25_1637,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,8,0,8,0,,,0,1,0.0,Stimuli/edmd.png,Stimuli/eumu.png,None,None,None,d,1,0.2826247889897786,None,46.63014231499983,None,code,1,2,2020_Oct_25_1637,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,9,0,9,0,,,0,1,0.0,Stimuli/eimd.png,Stimuli/eumu.png,None,None,None,d,1,0.45826989400666207,None,47.63015846500639,None,code,1,2,2020_Oct_25_1637,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,10,0,10,0,,,0,0,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,s,1,0.5093265059986152,None,48.8129607400042,None,code,1,2,2020_Oct_25_1637,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,11,0,11,0,,,0,1,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,s,1,0.6564340930199251,None,50.046833602013066,None,code,1,2,2020_Oct_25_1637,configural_featural,2020.2.4,None,
