Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0.05,0.05,24.778956856927834,24.98249893891625,24.778956856927834,None,25.249080700916238,None,25.91571147693321,None,f,0,0.72213037207257,25.91571147693321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.546386515023187,30.74928947002627,30.546386515023187,None,31.01598174998071,None,31.19926179794129,None,space,1,0.9271435349946842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.5359003649791703,31.19926179794129,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,41.64900440094061,41.849042846937664,41.64900440094061,None,41.97652798099443,42.184303078916855,41.97652798099443,None,j,1,0.9793805460212752,42.14858549600467,None,None,1,42.14858549600467,None,46.15090142202098,None,46.15090142202098,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0,Stimuli/dory1.png,Stimuli/dory1.png,48.17912474600598,48.38288922200445,48.17912474600598,None,48.47786166600417,48.68275810102932,48.47786166600417,None,f,1,0.5344913080334663,48.64940808399115,None,None,1,48.64940808399115,None,52.632787541951984,None,52.632787541951984,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1,Stimuli/dory1.png,Stimuli/dory2.png,54.67361035302747,54.88171592191793,54.67361035302747,None,54.931114307953976,55.13173388398718,54.931114307953976,None,j,1,0.7797685560071841,55.13173388398718,None,None,1,55.13173388398718,None,59.132874846924096,None,59.132874846924096,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0,Stimuli/nemo2.png,Stimuli/nemo2.png,61.16605074494146,61.366256169974804,61.16605074494146,None,61.47789359593298,61.684497942915186,61.47789359593298,None,f,1,0.3851757689844817,61.651436764979735,None,None,1,61.651436764979735,None,65.63263902498875,None,65.63263902498875,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17295000000000002,0,Stimuli/nemo2.png,Stimuli/nemo2.png,67.67755828693043,67.88456421101,67.67755828693043,None,67.9776505989721,68.18463266792241,67.9776505989721,None,f,1,1.1432960199890658,68.1495880529983,None,space,1,68.1495880529983,None,72.13255833799485,None,72.13255833799485,None,1.4026414830004796,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0,Stimuli/dory2.png,Stimuli/dory2.png,74.15069753397256,74.35211654100567,74.15069753397256,None,74.45154705701862,74.66643390397076,74.45154705701862,None,f,1,1.2780852529685944,74.63265165395569,None,None,1,74.63265165395569,None,78.63315435196273,None,78.63315435196273,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,80.6495166409295,80.85132984991651,80.6495166409295,None,80.97950602602214,81.1828470689943,80.97950602602214,None,j,1,1.2218935179989785,81.1497525050072,None,None,1,81.1497525050072,None,85.1330156630138,None,85.1330156630138,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
