Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,ITI_fix_cross.started,ITI_fix_cross.stopped,fix_resp.keys,fix_resp.started,fix_resp.stopped,fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/f24.png,Stimuli/f24.png,,,,,None,1,None,0,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/f15.png,Stimuli/edmd.png,,,,,None,1,None,0,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,None,0,None,1,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H5sim0.png,Stimuli/H-8sim3.png,None,0,None,1,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,None,0,None,0,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H-8sim1.png,Stimuli/H8sim0.png,None,0,None,1,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,,None,1,None,0,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H-8sim2.png,Stimuli/H-8sim0.png,,,,,None,1,None,0,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,0,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,,,,None,0,None,0,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H-8sim2.png,Stimuli/H-8sim1.png,,,,,None,1,None,0,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eomu.png,Stimuli/edmd.png,conf_face,j,1,0.6265457849949598,293.7485565629322,None,None,293.7485565629322,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eumu.png,Stimuli/eomu.png,conf_face,j,1,0.5347827761434019,296.49858415010385,None,None,296.49858415010385,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,f,1,0.48527871700935066,299.29883014108054,None,None,299.29883014108054,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,j,0,0.34673560806550086,301.7153937439434,None,None,301.7153937439434,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,j,0,0.3721500139217824,304.46509180101566,None,space,304.46509180101566,None,0.5534532351884991,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eimd.png,Stimuli/eomu.png,conf_face,f,0,0.4192674688529223,306.96535584004596,None,None,306.96535584004596,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,f,1,2.5679409080184996,311.89871390606277,None,None,311.89871390606277,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eumu.png,Stimuli/edmd.png,conf_face,j,1,0.5235880110412836,314.7146351521369,None,None,314.7146351521369,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0.0,Stimuli/eomu.png,Stimuli/eumu.png,conf_face,j,1,0.45806617196649313,317.49851050809957,None,space,317.49851050809957,None,0.6059709179680794,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,j,0,0.4563990670721978,320.16529385605827,None,None,320.16529385605827,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,f,1,1.1117777258623391,323.4485225479584,None,space,323.4485225479584,None,0.6901387181133032,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/edmd.png,Stimuli/eimd.png,conf_face,f,0,0.6040004550013691,326.09871657704934,None,None,326.09871657704934,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eimd.png,Stimuli/edmd.png,conf_face,f,0,0.2323782939929515,328.38148380001076,None,None,328.38148380001076,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,f,1,5.002096743090078,335.7480288951192,None,None,335.7480288951192,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eomu.png,Stimuli/eimd.png,conf_face,j,1,0.4985715770162642,338.4652162929997,None,None,338.4652162929997,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eimd.png,Stimuli/eumu.png,conf_face,f,0,0.476947627030313,341.3157636420801,None,None,341.3157636420801,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,j,0,0.4418403450399637,343.9823777731508,None,space,343.9823777731508,None,0.7310369010083377,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,j,0,0.8416053149849176,346.96531118499115,None,None,346.96531118499115,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eumu.png,Stimuli/eimd.png,conf_face,f,0,0.5850377578753978,349.6154070100747,None,None,349.6154070100747,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,f,1,0.5140845801215619,352.5488739919383,None,space,352.5488739919383,None,0.8482042620889843,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/edmd.png,Stimuli/eumu.png,conf_face,f,0,0.5257779308594763,355.1490886900574,None,None,355.1490886900574,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/edmd.png,Stimuli/eomu.png,conf_face,j,1,0.2931575810071081,357.8155152751133,None,None,357.8155152751133,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,j,0,0.6502763228490949,360.74911561701447,None,space,360.74911561701447,None,0.534560055937618,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,f,1,0.20617660717107356,363.3651018559467,None,None,363.3651018559467,None,,,1,2,2020_Nov_27_2124,configural_featural,2020.2.4,None,[3584 2240],
