pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,X Scale,Y Scale,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,fix_resp.keys,fix_resp.corr,fix_resp.started,fix_resp.stopped,image_3.started,image_3.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
0,0,0,0,0.05,0.05,16.498736042005476,16.70585100800963,16.67259227001341,None,17.014316287997644,17.22497821401339,17.189210139971692,None,f,1,0.4127648170106113,17.189210139971692,None,None,0,17.189210139971692,None,17.62243490497349,None,,1,2,2020_Oct_28_0140,configural_featural,2020.2.4,None,
1,0,1,0,,,18.641054636973422,18.85589824098861,18.822645390988328,None,19.141081870009657,19.358075456984807,19.322856862971094,None,j,0,0.3129064670065418,19.322856862971094,None,None,0,19.322856862971094,None,19.655987194972113,None,,1,2,2020_Oct_28_0140,configural_featural,2020.2.4,None,
2,0,2,0,,,20.7201364840148,20.92484334198525,20.889641354966443,None,21.172357595991343,21.3750871589873,21.356197228014935,None,f,0,0.577305159997195,21.356197228014935,None,None,0,21.356197228014935,None,21.95620748901274,None,,1,2,2020_Oct_28_0140,configural_featural,2020.2.4,None,
3,0,3,0,,,22.97470682999119,23.189514636003878,23.15613876399584,None,23.517992311972193,None,23.689432366983965,None,f,0,0.00402180798118934,23.689432366983965,None,None,0,23.689432366983965,None,23.722658563987352,None,,1,2,2020_Oct_28_0140,configural_featural,2020.2.4,None,
4,0,4,0,,,24.781123313005082,24.989602909015957,24.956181915011257,None,25.287008875980973,25.489558650995605,25.45620242197765,None,j,0,0.3111755150021054,25.45620242197765,None,None,0,25.45620242197765,None,25.789270667999517,None,,1,2,2020_Oct_28_0140,configural_featural,2020.2.4,None,
5,0,5,0,,,26.806045897013973,27.00606266898103,27.00606266898103,None,27.353968499985058,27.55844056501519,27.539508812013082,None,j,1,0.08680761000141501,27.539508812013082,None,None,0,27.539508812013082,None,27.655935827991925,None,,1,2,2020_Oct_28_0140,configural_featural,2020.2.4,None,
6,0,6,0,,,28.71983088797424,28.924399056006223,28.889585519966204,None,29.191144348005764,29.408223823003937,29.372761656006332,None,j,1,0.2573438900290057,29.372761656006332,None,None,0,29.372761656006332,None,29.656130846007727,None,,1,2,2020_Oct_28_0140,configural_featural,2020.2.4,None,
7,0,7,0,,,30.67261825397145,30.874605697987135,30.856124240963254,None,31.172813621989917,31.374864811019506,31.355887401965447,None,j,0,0.15335970604792237,31.355887401965447,None,None,0,31.355887401965447,None,31.53928680997342,None,,1,2,2020_Oct_28_0140,configural_featural,2020.2.4,None,
