pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,X Scale,Y Scale,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
0,0,0,0,0.05,0.05,20.64818140293937,20.850732238963246,20.64818140293937,None,20.95894328097347,21.16948490892537,20.95894328097347,None,f,1,0.868411295930855,21.136172565980814,None,None,1,21.136172565980814,None,25.119424670934677,None,25.119424670934677,None,,,1,2,2020_Oct_29_1934,configural_featural,2020.2.4,None,
1,0,1,0,,,27.117159853922203,27.317480901023373,27.117159853922203,None,27.419442710932344,27.63428214401938,27.419442710932344,None,j,0,0.7049056390533224,27.601020289002918,None,None,1,27.601020289002918,None,31.619267017929815,None,31.619267017929815,None,,,1,2,2020_Oct_29_1934,configural_featural,2020.2.4,None,
2,0,2,0,,,33.631754150032066,33.83414656901732,33.631754150032066,None,33.959542401949875,34.16945184394717,33.959542401949875,None,j,1,1.8334741530707106,34.13441309297923,None,None,1,34.13441309297923,None,38.10014684696216,None,38.10014684696216,None,,,1,2,2020_Oct_29_1934,configural_featural,2020.2.4,None,
3,0,3,0,,,40.15927694295533,40.36766588501632,40.15927694295533,None,40.45895151793957,40.66936177993193,40.45895151793957,None,f,1,0.7154437360586599,40.63644987298176,None,None,1,40.63644987298176,None,44.60101346299052,None,44.60101346299052,None,,,1,2,2020_Oct_29_1934,configural_featural,2020.2.4,None,
4,0,4,0,,,46.65939739195164,46.86959960195236,46.65939739195164,None,46.91779904894065,47.117719374014996,46.91779904894065,None,j,1,2.57076989102643,47.08682816394139,51.084492346970364,space,1,47.08682816394139,51.084492346970364,51.10121324798092,None,51.10121324798092,None,2.311659198952839,,1,2,2020_Oct_29_1934,configural_featural,2020.2.4,None,
5,0,5,0,,,53.11965141200926,53.33454191102646,53.11965141200926,None,53.45960988802835,53.66884586494416,53.45960988802835,None,j,1,1.0801064199768007,53.63429634901695,None,None,0,53.63429634901695,None,57.6005169400014,None,57.6005169400014,None,,,1,2,2020_Oct_29_1934,configural_featural,2020.2.4,None,
6,0,6,0,,,59.642706444021314,59.85285508900415,59.642706444021314,None,59.917314352001995,60.117815825971775,59.917314352001995,None,f,1,0.836699133971706,60.10296779102646,None,None,1,60.10296779102646,None,64.10089256498031,None,64.10089256498031,None,,,1,2,2020_Oct_29_1934,configural_featural,2020.2.4,None,
7,0,7,0,,,66.15950604202226,66.36997386300936,66.15950604202226,None,66.41800454398617,66.62057760695461,66.41800454398617,None,j,1,0.5167455900227651,66.60144072503317,None,None,1,66.60144072503317,None,70.60093348601367,None,70.60093348601367,None,,,1,2,2020_Oct_29_1934,configural_featural,2020.2.4,None,
