Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,ITI_fix_cross.started,ITI_fix_cross.stopped,fix_resp.keys,fix_resp.corr,fix_resp.started,fix_resp.stopped,fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,0,Stimuli/eomu.png,Stimuli/eomu.png,,,,,None,0,None,0,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/f131.png,Stimuli/eumu.png,,,,,None,1,None,0,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,None,0,None,1,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H-8sim0.png,Stimuli/H-8sim2.png,None,0,None,1,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,None,0,None,0,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H7sim0.png,Stimuli/H-8sim3.png,None,0,None,1,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,,None,1,None,0,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1,Stimuli/H6sim0.png,Stimuli/H-8sim1.png,,,,,None,0,None,0,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H6sim0.png,Stimuli/H6sim0.png,,,,,None,1,None,0,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H5sim0.png,Stimuli/H-8sim2.png,,,,,None,1,None,0,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0.0,Stimuli/eumu.png,Stimuli/edmd.png,conf_face,j,1,0.6625913039315492,198.2158004140947,None,None,0,198.2158004140947,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0.0,Stimuli/eimd.png,Stimuli/eumu.png,conf_face,f,0,0.7236420020926744,201.21586027299054,None,None,0,201.21586027299054,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,f,1,0.5214994009584188,203.8157202641014,None,None,0,203.8157202641014,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,f,1,0.5862718259450048,206.78246981208213,None,space,1,206.78246981208213,None,0.6310960489790887,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0.0,Stimuli/eumu.png,Stimuli/eimd.png,conf_face,f,0,0.46685921493917704,209.36591503513046,None,None,0,209.36591503513046,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,f,1,0.5141773540526628,212.24944890313782,None,None,0,212.24944890313782,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0.0,Stimuli/eumu.png,Stimuli/eomu.png,conf_face,j,1,0.6353546159807593,215.0157411280088,None,None,0,215.0157411280088,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,j,0,0.4010775319766253,217.69913373002782,None,None,0,217.69913373002782,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,0.0,Stimuli/eomu.png,Stimuli/eimd.png,conf_face,j,1,0.4623759971000254,220.232617367059,None,space,1,220.232617367059,None,0.5832591007929295,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0.0,Stimuli/edmd.png,Stimuli/eimd.png,conf_face,j,1,0.4739891109056771,223.1991571681574,None,None,0,223.1991571681574,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,f,1,0.5377552018035203,225.76603358704597,None,space,1,225.76603358704597,None,0.5383688809815794,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,j,0,0.6145986961200833,228.7327023060061,None,None,0,228.7327023060061,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,j,0,0.47618741798214614,231.4824077580124,None,None,0,231.4824077580124,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,j,0,0.509830127004534,234.01613386999816,None,None,0,234.01613386999816,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0.0,Stimuli/edmd.png,Stimuli/eumu.png,conf_face,f,0,0.5780308179091662,236.8827588041313,None,None,0,236.8827588041313,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0.0,Stimuli/eimd.png,Stimuli/eomu.png,conf_face,j,1,0.3627604260109365,239.366108229151,None,None,0,239.366108229151,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,j,0,0.3660152778029442,241.83279726817273,None,space,1,241.83279726817273,None,0.5546718360856175,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0.0,Stimuli/eomu.png,Stimuli/eumu.png,conf_face,f,0,0.5386294950731099,244.4994429780636,None,None,0,244.4994429780636,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,j,0,0.7515681982040405,247.59944342519157,None,None,0,247.59944342519157,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0.0,Stimuli/eomu.png,Stimuli/edmd.png,conf_face,f,0,0.3961904749739915,250.3162438091822,None,None,0,250.3162438091822,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,f,1,0.3514879150316119,252.86621709214523,None,space,1,252.86621709214523,None,0.5426307250745595,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,f,1,0.6312707639299333,255.68297701701522,None,None,0,255.68297701701522,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0.0,Stimuli/eimd.png,Stimuli/edmd.png,conf_face,j,1,0.5780999548733234,258.6997149072122,None,None,0,258.6997149072122,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0.0,Stimuli/edmd.png,Stimuli/eomu.png,conf_face,j,1,0.5268787329550833,261.48296137317084,None,None,0,261.48296137317084,None,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
