repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,0.05,0.05,space,0.22451735474169254,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,j,1,0.7371020941063762,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,space,1,0.8074634848162532,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.5327840996906161,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/f15.png,Stimuli/f15.png,f,1,1.1938590658828616,None,1,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/eimd.png,Stimuli/eumu.png,j,1,2.5306389410980046,None,1,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,1,0.17380935298900002,0,Stimuli/eimd.png,Stimuli/eimd.png,f,1,1.3650414501316845,space,1,1.7388231703080237,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/edmd.png,Stimuli/eumu.png,j,1,1.1814310238696635,None,1,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/edmd.png,Stimuli/edmd.png,,,,,,,None,1,f,1,0.9404775039292872,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/eomu.png,Stimuli/f24.png,,,,,,,None,1,j,1,1.079803692176938,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,1,-0.17380935298900002,0,Stimuli/eomu.png,Stimuli/eomu.png,,,,,,,space,1,f,1,1.020841469988227,1.2612197967246175,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/eimd.png,Stimuli/edmd.png,,,,,,,None,1,None,0,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H6sim0.png,Stimuli/H6sim0.png,None,0,,None,1,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1,Stimuli/H6sim0.png,Stimuli/H5sim0.png,None,0,,None,0,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,None,0,,None,1,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H5sim0.png,Stimuli/H-8sim0.png,None,0,,None,1,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,,,,None,1,None,0,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H6sim0.png,Stimuli/H-8sim1.png,,,,,,,None,1,None,0,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,1,-0.17380935298900002,0,Stimuli/H7sim0.png,Stimuli/H7sim0.png,,,,,,,space,1,None,0,,0.9851821940392256,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H5sim0.png,Stimuli/H-8sim1.png,,,,,,,None,1,None,0,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/f15.png,Stimuli/f15.png,f,1,0.9990223809145391,None,1,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1,Stimuli/f15.png,Stimuli/f24.png,j,1,1.071063436102122,space,1,1.6332542947493494,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/f142.png,Stimuli/f142.png,f,1,1.0681011509150267,None,1,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/f131.png,Stimuli/f24.png,j,1,1.0024847080931067,None,1,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/f24.png,Stimuli/f24.png,,,,,,,None,1,f,1,0.8330046460032463,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,1,-0.17380935298900002,1,Stimuli/f131.png,Stimuli/f15.png,,,,,,,space,1,j,1,1.1930553391575813,0.8375073340721428,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/f131.png,Stimuli/f131.png,,,,,,,None,1,f,1,0.9913989710621536,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/eomu.png,Stimuli/f24.png,,,,,,,None,1,j,1,1.357517764903605,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,j,0,1.3697203723713756,None,1,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H6sim0.png,Stimuli/H-8sim1.png,j,1,1.433986181858927,None,1,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,f,1,1.0505397669039667,space,1,1.292492903303355,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H8sim0.png,Stimuli/H-8sim2.png,j,1,0.9769945130683482,None,1,,,,,,,,,1,2,2020_Dec_11_2104,configural_featural,2020.2.4,None,[3584 2240],
