pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,X Scale,Y Scale,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,fix_resp.keys,fix_resp.corr,fix_resp.started,fix_resp.stopped,image_3.started,image_3.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
0,0,0,0,0.05,0.05,20.409659364959225,20.620569655962754,20.58520770497853,None,20.885356374958064,21.08768517995486,21.068651205976494,None,j,0,0.5475009790388867,21.068651205976494,None,None,0,21.068651205976494,None,21.63463625201257,None,,1,2,2020_Oct_28_0152,configural_featural,2020.2.4,None,
1,0,1,0,,,22.653805312991608,22.870964311994612,22.835332369955722,None,23.152058189967647,23.35197108896682,23.337922148988582,None,j,0,0.8122203730163164,23.337922148988582,None,None,0,23.337922148988582,None,24.168335630965885,None,,1,2,2020_Oct_28_0152,configural_featural,2020.2.4,None,
2,0,2,0,,,25.16794030496385,25.3686632559984,25.3686632559984,None,25.72819603898097,25.937161677982658,25.901697183959186,None,f,0,0.864277923014015,25.901697183959186,None,None,0,25.901697183959186,None,26.784724854980595,None,,1,2,2020_Oct_28_0152,configural_featural,2020.2.4,None,
3,0,3,0,,,27.801771920989268,28.0037836979609,27.98510157095734,None,28.332959322957322,28.537868410989176,28.518536478979513,None,f,0,0.1395005300291814,28.518536478979513,None,None,0,28.518536478979513,None,28.68455422099214,None,,1,2,2020_Oct_28_0152,configural_featural,2020.2.4,None,
4,0,4,0,,,29.701555965002626,29.903694045962766,29.884780653985217,None,30.20191453601001,30.401896532974206,30.387628446973395,None,f,0,0.5148917810292915,30.387628446973395,None,None,0,30.387628446973395,None,30.918701561982743,None,,1,2,2020_Oct_28_0152,configural_featural,2020.2.4,None,
5,0,5,0,,,31.97705754096387,32.18716418900294,32.15194665896706,None,32.483309756964445,32.68546696496196,32.668761929962784,None,j,0,0.12628461403073743,32.668761929962784,None,None,0,32.668761929962784,None,32.818467386998236,None,,1,2,2020_Oct_28_0152,configural_featural,2020.2.4,None,
,,,,,,33.87706463900395,34.08534737495938,34.05198241700418,None,,,,,,,,,,,,,,,,,,,,,,,
